"method","n","mean_cor","median_cor","sd_cor","mean_rmse","median_rmse","sd_rmse","success_rate","scenario"
"fmrilss_oasis[fractional|x=0.05|b=0.05]",8,0.62791935658484,0.625681588927184,0.0148150768645372,1.26535044362056,1.26239108708998,0.0353229969747682,1,"baseline__no_sbhm"
"fmrilss_oasis[fractional|x=0.05|b=0.05]",8,0.61591366617665,0.615687823311363,0.0200789025438725,1.2701772633867,1.26062690269289,0.0495504412530865,1,"baseline__sbhm_adaptive_gate"
"fmrilss_oasis[fractional|x=0.05|b=0.05]",8,0.626854854596718,0.625681588927184,0.0165742287938442,1.26256190285631,1.26239108708998,0.0392426845785643,1,"baseline__sbhm_default_gls"
"fmrilss_oasis[fractional|x=0.05|b=0.05]",8,0.622246771893486,0.623814932053899,0.0216585994391555,1.25941614221612,1.25612986633812,0.0386383202062234,1,"baseline__sbhm_lss1"
"fmrilss_oasis[fractional|x=0.05|b=0.05]",8,0.62236652979542,0.624293963661632,0.021690224136084,1.26876582467931,1.25612986633812,0.0499127835874542,1,"baseline__sbhm_oasis_voxel"
"fmrilss_oasis[fractional|x=0|b=0.05]",8,0.53688505025208,0.530852729104662,0.016830662489755,1.4041404675388,1.38969648185676,0.0518968280686587,1,"lag1p5__no_sbhm"
"fmrilss_oasis[absolute|x=0|b=0]",8,0.544430136695948,0.539545832059708,0.0212782170219112,1.41558438497491,1.40368015179501,0.0585048148728929,1,"lag1p5__sbhm_adaptive_gate"
"fmrilss_oasis[fractional|x=0|b=0.05]",8,0.54208464859539,0.536621119940795,0.0210106924777398,1.40191816108166,1.38699577390247,0.0528729290184911,1,"lag1p5__sbhm_default_gls"
"fmrilss_oasis[fractional|x=0|b=0.05]",8,0.54136021026393,0.533723366614955,0.0210535087289223,1.39430591491512,1.38080725602817,0.0594087299227606,1,"lag1p5__sbhm_lss1"
"fmrilss_oasis[fractional|x=0|b=0.05]",8,0.542375007851781,0.533723366614955,0.0224183418119277,1.40070552496526,1.38549068416043,0.0613111030376788,1,"lag1p5__sbhm_oasis_voxel"
"fmrilss_oasis[absolute|x=0|b=0]",8,0.482601144532968,0.482210462751866,0.0337619655730206,1.43123528921546,1.42683783502516,0.0350799978970065,1,"lag2_widen1p5__no_sbhm"
"fmrilss_oasis[absolute|x=0|b=0]",8,0.482125027602621,0.4809787256437,0.0346952895835695,1.43251051786601,1.41856336274153,0.0395942675652743,1,"lag2_widen1p5__sbhm_adaptive_gate"
"fmrilss_oasis[absolute|x=0|b=0]",8,0.482367874395965,0.482210462751866,0.0334677159811625,1.41813813343487,1.41826844568404,0.0178563007779083,1,"lag2_widen1p5__sbhm_default_gls"
"fmrilss_oasis[absolute|x=0|b=0]",8,0.480566407136664,0.4809787256437,0.0343613291815926,1.41935557978844,1.41826844568404,0.0197772098926443,1,"lag2_widen1p5__sbhm_lss1"
"fmrilss_oasis[absolute|x=0|b=0]",8,0.469187998046348,0.465515093424937,0.032084099701976,1.43457913593692,1.42683783502516,0.0391806062960044,1,"lag2_widen1p5__sbhm_oasis_voxel"
"fmrilss_oasis[absolute|x=0|b=0]",8,0.373458644721145,0.371032109023845,0.0341365279395694,1.54343368893585,1.52403482586023,0.060496438387917,1,"lag3__no_sbhm"
"fmrilss_oasis[absolute|x=0|b=0]",8,0.360540920476298,0.350646248032092,0.038795664344248,1.51296450247133,1.50721700504723,0.0277406694860723,1,"lag3__sbhm_adaptive_gate"
"fmrilss_oasis[absolute|x=0|b=0]",8,0.363801715981844,0.352934936370705,0.0406378894607439,1.53652736407657,1.51427334348326,0.0592993596622802,1,"lag3__sbhm_default_gls"
"fmrilss_oasis[absolute|x=0|b=0]",8,0.361168363928159,0.349230592162955,0.0423765179409467,1.53086551229787,1.50679345047919,0.0609546460563683,1,"lag3__sbhm_lss1"
"fmrilss_oasis[absolute|x=0|b=0]",8,0.367311162584586,0.366667367054833,0.0402861865383922,1.5111027264981,1.50679345047919,0.0275950680077524,1,"lag3__sbhm_oasis_voxel"
