"method","n","mean_cor","median_cor","sd_cor","mean_rmse","median_rmse","sd_rmse","success_rate","scenario"
"fmrilss_lss",8,0.627709499333639,0.625288506268616,0.0148903751722827,1.34159937686417,1.33778818399451,0.0417008113321061,1,"baseline__no_sbhm"
"fmrilss_oasis[absolute|x=0.01|b=0.01]",8,0.627727684496034,0.625325212802263,0.0148842637563503,1.32543097999435,1.32183029124694,0.0409084813628154,1,"baseline__no_sbhm"
"fmrilss_oasis[absolute|x=0.01|b=0.02]",8,0.627732851071752,0.625334219788674,0.0148824656521315,1.32521976161972,1.32163634955709,0.0407925055560036,1,"baseline__no_sbhm"
"fmrilss_oasis[absolute|x=0.01|b=0.05]",8,0.627748201024405,0.625361018917598,0.0148770996546752,1.32459261948911,1.32106645072496,0.0404479167664152,1,"baseline__no_sbhm"
"fmrilss_oasis[absolute|x=0.01|b=0]",8,0.627722492682318,0.625316168476259,0.0148860666098163,1.32564329592562,1.32202527301209,0.0410250191586796,1,"baseline__no_sbhm"
"fmrilss_oasis[absolute|x=0.02|b=0.01]",8,0.627740206783089,0.62535208077749,0.0148800513247915,1.30996336766453,1.3067566999028,0.0402531487621489,1,"baseline__no_sbhm"
"fmrilss_oasis[absolute|x=0.02|b=0.02]",8,0.627745334355205,0.625361028752734,0.0148782568811319,1.30975729644607,1.30653605999972,0.0401383996482437,1,"baseline__no_sbhm"
"fmrilss_oasis[absolute|x=0.02|b=0.05]",8,0.627760568528588,0.625387652498286,0.0148729017834305,1.30914545934515,1.30588099449591,0.0397974509955187,1,"baseline__no_sbhm"
"fmrilss_oasis[absolute|x=0.02|b=0]",8,0.627735054180698,0.625343095740727,0.0148818505038874,1.31017051346046,1.30697849492668,0.0403684531323571,1,"baseline__no_sbhm"
"fmrilss_oasis[absolute|x=0.05|b=0.01]",8,0.627775368174619,0.625428554557863,0.014867939243375,1.26629447324301,1.26384446734938,0.0383996316726459,1,"baseline__no_sbhm"
"fmrilss_oasis[absolute|x=0.05|b=0.02]",8,0.627780385832325,0.625437335069744,0.0148661552315487,1.26610266845028,1.26363801618218,0.038288550483919,1,"baseline__no_sbhm"
"fmrilss_oasis[absolute|x=0.05|b=0.05]",8,0.62779529373585,0.625463461102833,0.0148608311990999,1.26553324997763,1.26302512940672,0.0379584911050786,1,"baseline__no_sbhm"
"fmrilss_oasis[absolute|x=0.05|b=0]",8,0.6277703260725,0.625419737772716,0.0148697279518277,1.26648728850208,1.26405200836485,0.0385112488175879,1,"baseline__no_sbhm"
"fmrilss_oasis[absolute|x=0|b=0.01]",8,0.627714731634642,0.625297611596187,0.0148885685461797,1.34138167724435,1.33758780585833,0.0415830352744763,1,"baseline__no_sbhm"
