"scenario","method","mean_cor","mean_rmse","success_rate"
"baseline__no_sbhm","st_default",0.636462538047047,0.798927617475504,1
"baseline__sbhm_adaptive_gate","st_default",0.62298025265383,0.793934561141224,1
"baseline__sbhm_default_gls","st_default",0.633518540120085,0.801499812010878,1
"baseline__sbhm_lss1","st_default",0.628344291016692,0.796842623399009,1
"baseline__sbhm_oasis_voxel","st_default",0.627708533747818,0.792883245592509,1
"lag1p5__no_sbhm","st_default",0.53787516880009,0.865123705338149,1
"lag1p5__sbhm_adaptive_gate","st_default",0.544454330481962,0.85126981417524,1
"lag1p5__sbhm_default_gls","fmrilss_oasis[fractional|x=0|b=0.05]",0.54208464859539,1.40191816108166,1
"lag1p5__sbhm_lss1","st_default",0.542030367169308,0.857771283237001,1
"lag1p5__sbhm_oasis_voxel","st_default",0.544106758269432,0.855316944209657,1
"lag2_widen1p5__no_sbhm","fmrilss_oasis[absolute|x=0|b=0]",0.482601144532968,1.43123528921546,1
"lag2_widen1p5__sbhm_adaptive_gate","fmrilss_lss",0.482125027602621,1.43251051786601,1
"lag2_widen1p5__sbhm_default_gls","fmrilss_oasis[absolute|x=0|b=0]",0.482367874395965,1.41813813343487,1
"lag2_widen1p5__sbhm_lss1","st_default",0.481568397417161,0.896822261421564,1
"lag2_widen1p5__sbhm_oasis_voxel","fmrilss_lss",0.469187998046348,1.43457913593692,1
"lag3__no_sbhm","fmrilss_lss",0.373458644721145,1.54343368893585,1
"lag3__sbhm_adaptive_gate","fmrilss_lss",0.360540920476298,1.51296450247133,1
"lag3__sbhm_default_gls","fmrilss_lss",0.363801715981844,1.53652736407657,1
"lag3__sbhm_lss1","fmrilss_lss",0.361168363928159,1.53086551229787,1
"lag3__sbhm_oasis_voxel","fmrilss_lss",0.367311162584586,1.5111027264981,1
