"rep","ok","message","mean_margin","median_margin","mean_rho","max_rho","mean_kappa","max_kappa","method_global_ls","method_lss1","method_oasis_voxel","scenario"
1,TRUE,NA,0.0170534442732412,0.0104918248926218,0.993427792441073,0.999410125180153,1205.3943104639,4026.29387111927,0,0,12,"medium__nominal__none"
2,TRUE,NA,0.0170617043674614,0.0208295754110653,0.995247704776776,0.997130082376203,1546.42540928231,4840.06173473445,0,0,12,"medium__nominal__none"
1,TRUE,NA,0.0121137353815263,0.0011449257888162,1,1,302851810.422439,314349538.313185,0,0,12,"medium__nominal__moderate"
2,TRUE,NA,0.00785093303211183,0.0055911811331919,1,1,298241315.417044,314349538.313185,0,0,12,"medium__nominal__moderate"
1,TRUE,NA,0.0117137444741393,0.0113191350854414,1,1,267624985.526762,297498303.921361,0,0,12,"medium__nominal__high"
2,TRUE,NA,0.00291140146624863,0.00118675118362305,1,1,291339674.803383,360799879.188518,0,0,12,"medium__nominal__high"
1,TRUE,NA,0.00776222067530489,0.00577016152836796,1,1,270495280.59875,349579554.500051,0,0,12,"medium__mismatch__none"
2,TRUE,NA,0.0158704609181535,0.0129618225720856,1,1,268541649.169127,349579554.500051,0,0,12,"medium__mismatch__none"
1,TRUE,NA,0.00905476668013586,0.00694877250441711,0.995043455317218,0.997570457273949,1164.48888841278,4120.03601139663,0,0,12,"medium__mismatch__moderate"
2,TRUE,NA,0.00892237395626848,0.00503969204958044,0.995191094552543,0.997392270860806,1069.72357909569,2721.03080944872,0,0,12,"medium__mismatch__moderate"
1,TRUE,NA,0.00966856159185879,0.00537773605796055,1,1,285190534.91609,340222757.651403,0,0,12,"medium__mismatch__high"
2,TRUE,NA,0.0118454006595185,0.00528751654621784,1,1,289067485.202015,304479370.613505,0,0,12,"medium__mismatch__high"
1,TRUE,NA,0.0129669586260782,0.002228203641959,0.990727776408548,0.994750589137961,6773.18257332966,14696.887733707,0,0,12,"hard__nominal__none"
2,TRUE,NA,0.0106626023988047,0.00386064111257978,0.991373141716697,0.997630960739038,2627.65868024588,8901.09297007277,0,0,12,"hard__nominal__none"
1,TRUE,NA,0.0140164177931358,0.0072334958218993,0.994430159964619,0.99933279830878,3352.18206926705,20232.8201645552,0,0,12,"hard__nominal__moderate"
2,TRUE,NA,0.0124130871088494,0.00680237552578827,0.996091976494867,0.99933279830878,2272.42772580114,13988.6226063661,0,0,12,"hard__nominal__moderate"
1,TRUE,NA,0.0126114273956095,0.0100315258676482,0.983891093254165,0.997694174384943,261.264446638695,963.850426887431,0,0,12,"hard__nominal__high"
2,TRUE,NA,0.00671802055346225,0.006100243994619,0.980051519143595,0.997694174384943,1049.71733174141,3353.86496852508,0,0,12,"hard__nominal__high"
1,TRUE,NA,0.00679782843188922,0.00474032175362982,0.996151495810468,0.999434324308031,1103.52502574226,3460.01130694368,0,0,12,"hard__mismatch__none"
2,TRUE,NA,0.0127868869251228,0.0104631586442478,0.995164623951394,0.999410125180153,1903.05802293293,3460.01130694368,0,0,12,"hard__mismatch__none"
1,TRUE,NA,0.00754998860102245,0.00470243019872174,0.982618906882382,0.997694174384943,1332.45479039088,7366.05224452958,0,0,12,"hard__mismatch__moderate"
2,TRUE,NA,0.0111682783941366,0.00552324516308372,0.978480870607116,0.988800076692725,1932.74165334412,4351.23223147938,0,0,12,"hard__mismatch__moderate"
1,TRUE,NA,0.015399835285911,0.0103645036677822,0.993377812594695,0.996318034738169,6929.39725228008,23771.963169199,0,0,12,"hard__mismatch__high"
2,TRUE,NA,0.0138765034236573,0.00862946445854629,0.993651628399711,0.997694174384943,14900.0420605509,100500.378034303,0,0,12,"hard__mismatch__high"
