"scenario","regime","global_hrf","hetero","method","mean_cor","ci_cor_lo","ci_cor_hi","mean_rmse","mean_sign_acc","mean_abs_slope_bias","success_rate"
"hard__mismatch__high","hard","mismatch","high","fmrilss_lss",0.28733996344049,0.219329643196893,0.355350283684086,3.54532280457535,0.599537037037037,0.175506423995902,1
"hard__mismatch__moderate","hard","mismatch","moderate","fmrilss_lss",0.313844549405326,0.253100908416297,0.374588190394355,4.00699946452906,0.587962962962963,0.0903525627102326,1
"hard__mismatch__none","hard","mismatch","none","fmrilss_lss",0.224961837019654,0.198272621925247,0.251651052114062,3.66085485883855,0.547453703703704,0.194289986149444,1
"hard__nominal__high","hard","nominal","high","fmrilss_lss",0.268620286501486,0.204129553618649,0.333111019384323,3.13249065079974,0.578703703703704,0.252621220150251,1
"hard__nominal__moderate","hard","nominal","moderate","fmrilss_lss",0.298343310905776,0.279995577025408,0.316691044786145,3.95076908854761,0.599537037037037,0.138807977966299,1
"hard__nominal__none","hard","nominal","none","fmrilss_lss",0.297881478041077,0.295446190878875,0.300316765203278,4.00032504547384,0.59375,0.200567646167007,1
"medium__mismatch__high","medium","mismatch","high","fmrilss_lss",0.275555867076245,0.26539913274368,0.28571260140881,2.87569092734826,0.600694444444444,0.242848521302833,1
"medium__mismatch__moderate","medium","mismatch","moderate","fmrilss_lss",0.307937033459482,0.280085650421521,0.335788416497443,2.95409269055603,0.611111111111111,0.136897803242685,1
"medium__mismatch__none","medium","mismatch","none","fmrilss_lss",0.295322476519677,0.23998465913835,0.350660293901005,2.87438387505317,0.612268518518518,0.145113067874109,1
"medium__nominal__high","medium","nominal","high","fmrilss_lss",0.284219687915672,0.252326508596487,0.316112867234858,2.81685603364578,0.581018518518519,0.239976426901602,1
"medium__nominal__moderate","medium","nominal","moderate","fmrilss_lss",0.273722871606746,0.247056544292751,0.30038919892074,2.80276402127055,0.586805555555556,0.25492890671121,1
"medium__nominal__none","medium","nominal","none","fmrilss_lss",0.342796893164403,0.294421789562923,0.391171996765884,2.66907181526979,0.587962962962963,0.120293940425965,1
"hard__mismatch__high","hard","mismatch","high","fmrilss_oasis_best",0.146558087454153,0.0955260477233785,0.197590127184927,3.75031342204166,0.545138888888889,0.543066177112769,1
"hard__mismatch__moderate","hard","mismatch","moderate","fmrilss_oasis_best",0.107159034883871,0.00628411386472058,0.208033955903022,4.25104114374374,0.538194444444444,0.637461404061112,1
"hard__mismatch__none","hard","mismatch","none","fmrilss_oasis_best",0.0958359211855083,0.0374087723455309,0.154263070025486,3.8719833639868,0.518518518518518,0.667575753398756,1
"hard__nominal__high","hard","nominal","high","fmrilss_oasis_best",0.179798939392308,0.113343928411816,0.246253950372799,3.76148331219958,0.519675925925926,0.328080271073489,1
"hard__nominal__moderate","hard","nominal","moderate","fmrilss_oasis_best",0.18821208225022,0.120623826151474,0.255800338348966,3.95701766702816,0.545138888888889,0.289954252608823,1
"hard__nominal__none","hard","nominal","none","fmrilss_oasis_best",0.135988103744044,0.131991640873837,0.139984566614252,4.06337095365869,0.530092592592593,0.531334831105178,1
