"rep","mean_abs_lag","max_abs_lag","mean_widen","max_widen","scenario"
1,0,0,0,0,"medium__nominal__none"
2,0,0,0,0,"medium__nominal__none"
3,0,0,0,0,"medium__nominal__none"
4,0,0,0,0,"medium__nominal__none"
5,0,0,0,0,"medium__nominal__none"
6,0,0,0,0,"medium__nominal__none"
7,0,0,0,0,"medium__nominal__none"
8,0,0,0,0,"medium__nominal__none"
9,0,0,0,0,"medium__nominal__none"
10,0,0,0,0,"medium__nominal__none"
11,0,0,0,0,"medium__nominal__none"
12,0,0,0,0,"medium__nominal__none"
1,0.641140903121082,2.26916544589791,0.329223036631702,1.97508846785572,"medium__nominal__moderate"
2,0.487420374676746,1.41649406235291,0.141992566510112,1.24935543170292,"medium__nominal__moderate"
3,0.497850010861537,1.66547749605821,0.403805735309654,1.66931207789625,"medium__nominal__moderate"
4,0.477629960768535,1.51516474501975,0.156946742818913,1.64836503205405,"medium__nominal__moderate"
5,0.472779330157054,1.34129064174822,0.295940618735342,2.10050361758019,"medium__nominal__moderate"
6,0.47442528591554,1.68953384526231,0.167846052668957,1.38151370592714,"medium__nominal__moderate"
7,0.58178432356681,2.06914810034466,0.298717917792738,1.70055658525859,"medium__nominal__moderate"
8,0.488883030980754,1.97376454617839,0.221852198671631,1.3439814479005,"medium__nominal__moderate"
9,0.731108033192074,1.87634518309028,0.279355466837366,1.68614382028638,"medium__nominal__moderate"
10,0.557852467579476,1.54321308763621,0.0650517815139948,0.657259363248489,"medium__nominal__moderate"
11,0.614089345106801,2.48609031640283,0.244814816059138,1.58261418572962,"medium__nominal__moderate"
12,0.473063325740087,2.14936440386435,0.142035435866107,1.03985529384256,"medium__nominal__moderate"
1,0.823632290421787,2.43467869686263,0.241866737399757,2.14993342366948,"medium__nominal__high"
2,0.8412528031536,2.87604792215457,0.673728893559321,2.85057601607783,"medium__nominal__high"
3,0.803961352225316,2.58642387883263,0.269295697213966,2.80372743867549,"medium__nominal__high"
4,0.795556304746377,2.31118679336306,0.498288092611899,3.57946685391175,"medium__nominal__high"
5,0.804455088677955,2.92130130984111,0.287621265599766,2.36593374732337,"medium__nominal__high"
6,0.978942878160948,3.5049256549115,0.502147951627694,2.91621790469384,"medium__nominal__high"
7,0.823739048434097,3.39168212458337,0.37974855685297,2.37161569754195,"medium__nominal__high"
8,1.22204216930408,3.19379194876494,0.468360083060167,2.88790476918726,"medium__nominal__high"
9,0.937610245019092,2.64119036114854,0.117018878244357,1.16865327723586,"medium__nominal__high"
10,1.03549245746705,4.19562948693971,0.413782708362346,2.69597398152497,"medium__nominal__high"
11,0.802636838411307,3.64488934351367,0.243686488433099,1.82329901028749,"medium__nominal__high"
12,1.13778097475192,2.9156293846413,0.600541137559283,3.1263111031767,"medium__nominal__high"
1,0,0,0,0,"medium__mismatch__none"
2,0,0,0,0,"medium__mismatch__none"
3,0,0,0,0,"medium__mismatch__none"
4,0,0,0,0,"medium__mismatch__none"
5,0,0,0,0,"medium__mismatch__none"
6,0,0,0,0,"medium__mismatch__none"
7,0,0,0,0,"medium__mismatch__none"
8,0,0,0,0,"medium__mismatch__none"
9,0,0,0,0,"medium__mismatch__none"
10,0,0,0,0,"medium__mismatch__none"
11,0,0,0,0,"medium__mismatch__none"
12,0,0,0,0,"medium__mismatch__none"
1,0.477629960768535,1.51516474501975,0.156946742818913,1.64836503205405,"medium__mismatch__moderate"
2,0.472779330157054,1.34129064174822,0.295940618735342,2.10050361758019,"medium__mismatch__moderate"
3,0.47442528591554,1.68953384526231,0.167846052668957,1.38151370592714,"medium__mismatch__moderate"
4,0.58178432356681,2.06914810034466,0.298717917792738,1.70055658525859,"medium__mismatch__moderate"
5,0.488883030980754,1.97376454617839,0.221852198671631,1.3439814479005,"medium__mismatch__moderate"
6,0.731108033192074,1.87634518309028,0.279355466837366,1.68614382028638,"medium__mismatch__moderate"
7,0.557852467579476,1.54321308763621,0.0650517815139948,0.657259363248489,"medium__mismatch__moderate"
8,0.614089345106801,2.48609031640283,0.244814816059138,1.58261418572962,"medium__mismatch__moderate"
9,0.473063325740087,2.14936440386435,0.142035435866107,1.03985529384256,"medium__mismatch__moderate"
10,0.679426681679604,1.70985025798985,0.359190550136109,1.83838177751841,"medium__mismatch__moderate"
11,0.445803130439016,1.25972163734657,0.191982216877654,1.34876037943297,"medium__mismatch__moderate"
12,0.459131329275072,1.37798845986079,0.434833303389965,1.76842057712343,"medium__mismatch__moderate"
1,0.795556304746377,2.31118679336306,0.498288092611899,3.57946685391175,"medium__mismatch__high"
2,0.804455088677955,2.92130130984111,0.287621265599766,2.36593374732337,"medium__mismatch__high"
3,0.978942878160948,3.5049256549115,0.502147951627694,2.91621790469384,"medium__mismatch__high"
4,0.823739048434097,3.39168212458337,0.37974855685297,2.37161569754195,"medium__mismatch__high"
5,1.22204216930408,3.19379194876494,0.468360083060167,2.88790476918726,"medium__mismatch__high"
6,0.937610245019092,2.64119036114854,0.117018878244357,1.16865327723586,"medium__mismatch__high"
7,1.03549245746705,4.19562948693971,0.413782708362346,2.69597398152497,"medium__mismatch__high"
8,0.802636838411307,3.64488934351367,0.243686488433099,1.82329901028749,"medium__mismatch__high"
9,1.13778097475192,2.9156293846413,0.600541137559283,3.1263111031767,"medium__mismatch__high"
10,0.753655032319338,2.17612074395945,0.326794173043386,2.34452168168414,"medium__mismatch__high"
11,0.778932590174013,2.36264829546713,0.729239383231679,3.00322403959844,"medium__mismatch__high"
12,0.901257475105439,2.4596954638232,0.410980406359582,2.61929776335502,"medium__mismatch__high"
1,0,0,0,0,"hard__nominal__none"
2,0,0,0,0,"hard__nominal__none"
3,0,0,0,0,"hard__nominal__none"
4,0,0,0,0,"hard__nominal__none"
5,0,0,0,0,"hard__nominal__none"
6,0,0,0,0,"hard__nominal__none"
7,0,0,0,0,"hard__nominal__none"
8,0,0,0,0,"hard__nominal__none"
9,0,0,0,0,"hard__nominal__none"
10,0,0,0,0,"hard__nominal__none"
11,0,0,0,0,"hard__nominal__none"
12,0,0,0,0,"hard__nominal__none"
1,0.58178432356681,2.06914810034466,0.298717917792738,1.70055658525859,"hard__nominal__moderate"
2,0.488883030980754,1.97376454617839,0.221852198671631,1.3439814479005,"hard__nominal__moderate"
3,0.731108033192074,1.87634518309028,0.279355466837366,1.68614382028638,"hard__nominal__moderate"
4,0.557852467579476,1.54321308763621,0.0650517815139948,0.657259363248489,"hard__nominal__moderate"
5,0.614089345106801,2.48609031640283,0.244814816059138,1.58261418572962,"hard__nominal__moderate"
6,0.473063325740087,2.14936440386435,0.142035435866107,1.03985529384256,"hard__nominal__moderate"
7,0.679426681679604,1.70985025798985,0.359190550136109,1.83838177751841,"hard__nominal__moderate"
8,0.445803130439016,1.25972163734657,0.191982216877654,1.34876037943297,"hard__nominal__moderate"
