"scenario","method","n_old","mean_cor_old","median_cor_old","sd_cor_old","mean_rmse_old","median_rmse_old","sd_rmse_old","mean_slope_bias_old","median_slope_bias_old","sd_slope_bias_old","mean_abs_slope_bias_old","mean_intercept_bias_old","median_intercept_bias_old","sd_intercept_bias_old","mean_abs_intercept_bias_old","mean_sign_acc_old","median_sign_acc_old","sd_sign_acc_old","success_rate_old","regime","lag","widen","run_old","n_new","mean_cor_new","median_cor_new","sd_cor_new","mean_rmse_new","median_rmse_new","sd_rmse_new","mean_slope_bias_new","median_slope_bias_new","sd_slope_bias_new","mean_abs_slope_bias_new","mean_intercept_bias_new","median_intercept_bias_new","sd_intercept_bias_new","mean_abs_intercept_bias_new","mean_sign_acc_new","median_sign_acc_new","sd_sign_acc_new","success_rate_new","run_new","delta_cor","delta_rmse","delta_sign_acc"
"medium__lag3__widen2","fmrilss_sbhm",20,0.239641636765671,0.242235263883217,0.0344117750271028,3.13779168670344,3.05486144976246,0.48968106991187,-0.279522462527266,-0.264750837561777,0.16392570341644,0.28933222651057,-0.00332640343787179,-0.00532540758578968,0.0784074811888908,0.0602911821208262,0.574768518518519,0.577546296296296,0.0200130926930922,1,"medium",3,2,"before",20,0.21051754335883,0.213664024673122,0.0403663735450083,3.07672467818779,2.7702344295148,1.27109417676512,-0.45460227600503,-0.392095167158915,0.257847958138846,0.45460227600503,0.0299645485341627,0.0142946710833451,0.0714014194833708,0.0574394774173239,0.563310185185185,0.563657407407407,0.0148937006410646,1,"after",-0.029124093406841,-0.06106700851565,-0.0114583333333339
"medium__lag3__widen2","fmrilss_lss",20,0.1962996718875,0.197014479121124,0.0302126986982017,2.80384307874249,2.82853547610425,0.2049444246297,-0.428946294966932,-0.451983124583691,0.115926190067706,0.428946294966932,0.0100778951428657,0.0069121463815145,0.062909187035271,0.0504854492518808,0.559606481481482,0.554398148148148,0.0191750547841841,1,"medium",3,2,"before",20,0.1962996718875,0.197014479121124,0.0302126986982017,2.80384307874249,2.82853547610425,0.2049444246297,-0.428946294966932,-0.451983124583691,0.115926190067706,0.428946294966932,0.0100778951428657,0.0069121463815145,0.062909187035271,0.0504854492518808,0.559606481481482,0.554398148148148,0.0191750547841841,1,"after",0,0,0
"medium__lag3__widen2","st_default",20,0.189728077693381,0.189198228013954,0.0337622412037278,1.03415542021155,1.0167505482508,0.0610021313065472,-0.967180478603509,-0.972201933972048,0.0171350566018652,0.967180478603509,0.00434399144138554,0.00466384508003126,0.0232341591906755,0.017854801773462,0.572916666666667,0.56712962962963,0.018798144696371,1,"medium",3,2,"before",20,0.189728077693381,0.189198228013954,0.0337622412037278,1.03415542021155,1.0167505482508,0.0610021313065472,-0.967180478603509,-0.972201933972048,0.0171350566018652,0.967180478603509,0.00434399144138554,0.00466384508003126,0.0232341591906755,0.017854801773462,0.572916666666667,0.56712962962963,0.018798144696371,1,"after",0,0,0
"medium__lag3__widen2","fmrilss_oasis[fractional|x=0.05|b=0.05]",20,0.0719239445290219,0.0763371656500819,0.0455111568491032,2.27407873487403,2.27217270925875,0.138834379506466,-0.839344522941235,-0.826150318229782,0.0896524488865084,0.839344522941235,0.0175123924853126,0.0298569498874484,0.0526593663905309,0.0461211905933691,0.521990740740741,0.516203703703704,0.0214601397144433,1,"medium",3,2,"before",20,0.196816678713808,0.197247859583398,0.0299440348541949,2.64035683406473,2.66509585611687,0.19017848218333,-0.463680104993933,-0.48556762609446,0.108504752569255,0.463680104993933,0.0140664302763423,0.0227647416802662,0.0682461231126336,0.0573095491873152,0.560416666666667,0.560185185185185,0.0183486974627007,1,"after",0.124892734184786,0.3662780991907,0.038425925925926
"medium__lag3__widen1","fmrilss_sbhm",20,0.265821557206802,0.255196797575451,0.0537225792788199,2.84886196863186,2.85641395849421,0.26720680408716,-0.254397696698005,-0.281364081983428,0.176591625656989,0.261970956394848,0.00164946851668839,0.0270556003818785,0.0879310892857907,0.0729469956519113,0.591203703703704,0.587962962962963,0.021615958388757,1,"medium",3,1,"before",20,0.231503366789433,0.235926798346463,0.0526041876685876,3.01464931258431,2.8250262454756,0.585301278247425,-0.359069145749575,-0.378059112293922,0.19781286869162,0.380190216577139,-0.00387426081257303,0.0136509069078685,0.0814360576485181,0.0655343970185764,0.573263888888889,0.571759259259259,0.0228942582470265,1,"after",-0.034318190417369,0.16578734395245,-0.017939814814815
"medium__lag3__widen1","fmrilss_lss",20,0.205023652455473,0.202214246330422,0.0365842611915024,2.62700883983673,2.60855341681908,0.205981097151815,-0.454514897978787,-0.500897344859431,0.116951674808473,0.454514897978787,0.012092710805266,0.0153428087860258,0.0657719625566461,0.0537514143731607,0.565856481481481,0.564814814814815,0.0214860785857057,1,"medium",3,1,"before",20,0.205023652455473,0.202214246330422,0.0365842611915024,2.62700883983673,2.60855341681908,0.205981097151815,-0.454514897978787,-0.500897344859431,0.116951674808473,0.454514897978787,0.012092710805266,0.0153428087860258,0.0657719625566461,0.0537514143731607,0.565856481481481,0.564814814814815,0.0214860785857057,1,"after",0,0,0
"medium__lag3__widen1","st_default",20,0.192408311076948,0.185844636712025,0.0473892081693098,1.03486749315031,1.02238705939285,0.0597678768430472,-0.965999600527193,-0.972936722401399,0.0181108126284935,0.965999600527193,0.00250509145324764,0.00679507092200417,0.0192895507771055,0.0156102140086624,0.569791666666667,0.565972222222222,0.0188546941133771,1,"medium",3,1,"before",20,0.192408311076948,0.185844636712025,0.0473892081693098,1.03486749315031,1.02238705939285,0.0597678768430472,-0.965999600527193,-0.972936722401399,0.0181108126284935,0.965999600527193,0.00250509145324764,0.00679507092200417,0.0192895507771055,0.0156102140086624,0.569791666666667,0.565972222222222,0.0188546941133771,1,"after",0,0,0
"medium__lag3__widen1","fmrilss_oasis[fractional|x=0.05|b=0.05]",20,0.0665633786893623,0.0691755681620924,0.039152999048535,2.24706276594358,2.23747396389446,0.116713708359381,-0.861779033218911,-0.8550005047429,0.0863400941994976,0.861779033218911,0.0173318268744204,0.0364880629758501,0.0569846195979229,0.0527311269745724,0.517476851851852,0.516203703703704,0.0227979726914592,1,"medium",3,1,"before",20,0.205361589659409,0.202694977951165,0.0366192454229559,2.48403007018847,2.46559953702125,0.191551667652173,-0.486043986321626,-0.530294563574583,0.110121865383392,0.486043986321626,0.0149302807350854,0.0143324786958378,0.0693765581648103,0.0574163177449191,0.566319444444444,0.564814814814815,0.0206262039310999,1,"after",0.138798210970047,0.23696730424489,0.048842592592592
"medium__lag3__widen0","fmrilss_sbhm",20,0.257616634956082,0.25530117296272,0.0433810171401487,2.82690758594183,2.75077654655997,0.359688010786169,-0.285979020888268,-0.3127057805461,0.132186605167658,0.291970312230433,0.0470968183616071,0.0448200524281354,0.0951893284844646,0.0821230426968851,0.574768518518519,0.576388888888889,0.0159687787626363,1,"medium",3,0,"before",20,0.227828661448194,0.237394087367,0.0460518518470789,2.93410316355523,2.80167628834311,0.604075247049743,-0.404977924584462,-0.359732256140716,0.187923719565643,0.404977924584462,0.0496583470924767,0.0567422690704043,0.10201593897022,0.0936618411876178,0.571990740740741,0.577546296296296,0.0250543143295176,1,"after",-0.029787973507888,0.1071955776134,-0.00277777777777799
"medium__lag3__widen0","fmrilss_lss",20,0.179999404329012,0.175775898661535,0.0379163459519757,2.73377696299045,2.73811373407846,0.183302361054643,-0.500443719302516,-0.496948393482915,0.118373072442549,0.500443719302516,0.0297350724455765,0.0194463695804226,0.0832525303476406,0.0655683738719706,0.5625,0.565972222222222,0.0170269166483371,1,"medium",3,0,"before",20,0.179999404329012,0.175775898661535,0.0379163459519757,2.73377696299045,2.73811373407846,0.183302361054643,-0.500443719302516,-0.496948393482915,0.118373072442549,0.500443719302516,0.0297350724455765,0.0194463695804226,0.0832525303476406,0.0655683738719706,0.5625,0.565972222222222,0.0170269166483371,1,"after",0,0,0
"medium__lag3__widen0","st_default",20,0.159451581361111,0.171004914905068,0.0521585652431247,1.04915137834123,1.04323159932384,0.0624409151401188,-0.964780117329726,-0.974953762372982,0.0260744527370564,0.964780117329726,0.0061742544172441,0.00752447029346416,0.0215096097558758,0.0181065681437725,0.564351851851852,0.570601851851852,0.0264527202420011,1,"medium",3,0,"before",20,0.159451581361111,0.171004914905068,0.0521585652431247,1.04915137834123,1.04323159932384,0.0624409151401188,-0.964780117329726,-0.974953762372982,0.0260744527370564,0.964780117329726,0.0061742544172441,0.00752447029346416,0.0215096097558758,0.0181065681437725,0.564351851851852,0.570601851851852,0.0264527202420011,1,"after",0,0,0
"medium__lag3__widen0","fmrilss_oasis[fractional|x=0.05|b=0.05]",20,0.0944220388199655,0.0813524621788589,0.058032647918472,2.89359003048219,2.89502445356967,0.183880630615732,-0.728684872179658,-0.746947149153201,0.1599925738768,0.728684872179658,0.0312769433789635,0.0142936525769029,0.0773318126445373,0.0629906367712315,0.529166666666667,0.528935185185185,0.0261611268034799,1,"medium",3,0,"before",20,0.18067980268002,0.176226763472304,0.0379346121315647,2.57749061678527,2.58313313636208,0.168983327744384,-0.529701254240315,-0.527661388919851,0.11093140349143,0.529701254240315,0.0333643760166029,0.0112061804456839,0.0870538405689235,0.0680542404173568,0.563657407407407,0.568287037037037,0.0168688328856069,1,"after",0.0862577638600545,-0.31609941369692,0.03449074074074
"medium__lag2__widen2","fmrilss_lss",20,0.285257567564786,0.279280040036192,0.05118439674116,2.5227470780293,2.55428551620045,0.176431036425041,-0.261125474660401,-0.303893384130436,0.145344599990806,0.266345847257357,0.0400427955885689,0.0322826391412509,0.0500075125111986,0.0488492703011696,0.592361111111111,0.592592592592593,0.0211210370461706,1,"medium",2,2,"before",20,0.285257567564786,0.279280040036192,0.05118439674116,2.5227470780293,2.55428551620045,0.176431036425041,-0.261125474660401,-0.303893384130436,0.145344599990806,0.266345847257357,0.0400427955885689,0.0322826391412509,0.0500075125111986,0.0488492703011696,0.592361111111111,0.592592592592593,0.0211210370461706,1,"after",0,0,0
"medium__lag2__widen2","st_default",20,0.284786373152073,0.291886992671884,0.0588354110981515,1.01913042818991,1.00695562747376,0.0578303900213167,-0.93331820795104,-0.955669062272323,0.05157419385204,0.93331820795104,0.00920223491827674,0.00690049954153905,0.018005888476151,0.0142778674676877,0.59375,0.58912037037037,0.0215257471426954,1,"medium",2,2,"before",20,0.284786373152073,0.291886992671884,0.0588354110981515,1.01913042818991,1.00695562747376,0.0578303900213167,-0.93331820795104,-0.955669062272323,0.05157419385204,0.93331820795104,0.00920223491827674,0.00690049954153905,0.018005888476151,0.0142778674676877,0.59375,0.58912037037037,0.0215257471426954,1,"after",0,0,0
"medium__lag2__widen2","fmrilss_sbhm",20,0.278571088940276,0.272478558610648,0.0352066982429258,2.7933882381918,2.75216801643381,0.33143928089932,-0.245212473954094,-0.277036175187094,0.141930558302599,0.254805608977093,0.0326764367232381,0.0536552969934638,0.076339343395381,0.0695179721605188,0.593402777777778,0.594907407407407,0.0233214153750664,1,"medium",2,2,"before",20,0.240795787008526,0.241969026362955,0.04587136093522,3.18864710561361,2.93169120027324,0.923181254904441,-0.395096010415805,-0.383379692344002,0.211231989682859,0.395096010415805,0.0336869773102294,0.0287998943860639,0.0836396324302208,0.0720147723771087,0.581018518518518,0.581018518518519,0.0244746623432503,1,"after",-0.03777530193175,0.39525886742181,-0.0123842592592599
