"scenario","method","n","mean_cor","median_cor","sd_cor","mean_rmse","median_rmse","sd_rmse","mean_slope_bias","median_slope_bias","sd_slope_bias","mean_abs_slope_bias","mean_intercept_bias","median_intercept_bias","sd_intercept_bias","mean_abs_intercept_bias","mean_sign_acc","median_sign_acc","sd_sign_acc","success_rate","regime","lag","widen"
"medium__lag3__widen2","fmrilss_sbhm",20,0.342705140051386,0.350334513556878,0.0328402748252121,3.46863486005386,3.4797772276843,0.266071204844453,0.248256504612367,0.278729366697862,0.151259543507728,0.248256504612367,0.0145059751891201,0.00443672305016606,0.103520294621812,0.0760740225437854,0.606134259259259,0.605324074074074,0.0236933242648844,1,"medium",3,2
"medium__lag3__widen2","hrfals_fastlss[cpp]",20,0.262937955684512,0.268303466545339,0.0379930155859991,2.29615696828752,2.2576954693369,0.136040303062829,-0.40643510801,-0.400960484991176,0.0894903499534508,0.40643510801,0.0554173748839127,0.0236769798719116,0.195412540060104,0.150351610675576,0.584490740740741,0.584490740740741,0.0250385505240555,1,"medium",3,2
"medium__lag3__widen2","hrfals_fastlss[r]",20,0.262937955684512,0.268303466545339,0.0379930155859991,2.29615696828752,2.2576954693369,0.136040303062829,-0.40643510801,-0.400960484991176,0.0894903499534508,0.40643510801,0.0554173748839128,0.0236769798719117,0.195412540060104,0.150351610675576,0.584490740740741,0.584490740740741,0.0250385505240555,1,"medium",3,2
"medium__lag3__widen2","fmrilss_oasis[fractional|x=0.05|b=0.05]",20,0.260776802467992,0.264296481178085,0.0367338579221957,2.24593242412336,2.21434431160075,0.138908556195729,-0.40379587044193,-0.404590658251234,0.0920247597503818,0.40379587044193,0.0147908649103277,0.00564784924904099,0.0792537201651401,0.059830688186394,0.580092592592593,0.571759259259259,0.0273830795299857,1,"medium",3,2
"medium__lag3__widen2","fmrilss_lss",20,0.260406373808013,0.263517429950633,0.0366544086367308,2.36345720583765,2.3342870608632,0.148873111880346,-0.370444899722184,-0.372868229240205,0.0975705976596974,0.370444899722184,0.0132178881805148,0.00446985972381212,0.0784247079392656,0.0586646064479661,0.57974537037037,0.571759259259259,0.0272910058292056,1,"medium",3,2
"medium__lag3__widen2","st_default",20,0.229507567075798,0.225635017232635,0.0432136705942716,1.06891719955999,1.06973940037299,0.049555835533276,-0.869761862309038,-0.871513945408286,0.0247210655719187,0.869761862309038,0.00827475862776435,-0.00455787946674559,0.037607481410946,0.0308679020077584,0.577083333333333,0.576388888888889,0.0229290311614374,1,"medium",3,2
"medium__lag3__widen2","hrfals_fit[cf_als]",20,0.0910450056046515,0.0966376191206103,0.0504955046580343,1.39410931921812,1.37936035945298,0.088608441853062,-0.903048959829163,-0.901812095938193,0.0484583183539753,0.903048959829163,0.00605928330870398,-0.00339224992627723,0.0994891880714796,0.0759163074427796,0.530555555555556,0.534722222222222,0.0230333410284198,1,"medium",3,2
"medium__lag3__widen2","hrfals_fit[ls_svd_1als]",20,0.0910450056046515,0.0966376191206103,0.0504955046580343,1.39411013404225,1.37935909133352,0.0886078129159764,-0.903046916591977,-0.90181184827944,0.0484591878456894,0.903046916591977,0.00605882886136034,-0.00339158597323852,0.0994886868427751,0.0759160959133942,0.530555555555556,0.534722222222222,0.0230333410284198,1,"medium",3,2
"medium__lag3__widen2","hrfals_fit[ls_svd_only]",20,0.041571868623745,0.0390490703534189,0.0438676978372781,1.09522177575385,1.07360486890572,0.0580623554242774,-0.982515118637914,-0.984882435004706,0.0157187057469422,0.982515118637914,0.000938146683938865,0.00158525376220906,0.0191338143569855,0.0151422202979683,0.510532407407407,0.50462962962963,0.0242253619962837,1,"medium",3,2
"medium__lag3__widen1","fmrilss_sbhm",20,0.368752563203145,0.368976947589428,0.0354220383793538,3.20626912083122,3.21300178709138,0.211703116512766,0.245599503758897,0.247545581974595,0.15026422847209,0.245599503758897,-0.0156760713269303,-0.0248069796383079,0.0664869976099294,0.0558305983447703,0.620486111111111,0.616898148148148,0.0208194533576838,1,"medium",3,1
"medium__lag3__widen1","hrfals_fastlss[r]",20,0.27302312263682,0.278376135809341,0.0428614626719618,2.16415052766238,2.16796360001735,0.119300869469891,-0.415300974215501,-0.404156107197779,0.0972252503299068,0.415300974215501,-0.0105823501236147,0.00419238177459919,0.125476234627331,0.0958976326178498,0.590625,0.590277777777778,0.0244086045334948,1,"medium",3,1
"medium__lag3__widen1","hrfals_fastlss[cpp]",20,0.27302312263682,0.278376135809341,0.0428614626719618,2.16415052766238,2.16796360001735,0.119300869469891,-0.415300974215502,-0.40415610719778,0.0972252503299067,0.415300974215502,-0.0105823501236147,0.00419238177459916,0.125476234627331,0.0958976326178497,0.590625,0.590277777777778,0.0244086045334948,1,"medium",3,1
