"scenario","method","n","mean_cor","median_cor","sd_cor","mean_rmse","median_rmse","sd_rmse","mean_slope_bias","median_slope_bias","sd_slope_bias","mean_abs_slope_bias","mean_intercept_bias","median_intercept_bias","sd_intercept_bias","mean_abs_intercept_bias","mean_sign_acc","median_sign_acc","sd_sign_acc","success_rate"
"baseline_iid","hrfals_fastlss[cpp]",2,0.542927099041283,0.542927099041283,0.194346405202389,1.23876655310064,1.23876655310064,0.0641725093158564,-0.0358371671970787,-0.0358371671970787,0.419880698810244,0.29690048941807,-0.0146859895144008,-0.0146859895144008,0.104623730132989,0.0739801490500678,0.666666666666667,0.666666666666667,0.117851130197758,1
"baseline_iid","hrfals_fastlss[r]",2,0.542927099041283,0.542927099041283,0.194346405202389,1.23876655310064,1.23876655310064,0.0641725093158566,-0.0358371671970782,-0.0358371671970782,0.419880698810245,0.29690048941807,-0.0146859895144007,-0.0146859895144007,0.104623730132989,0.0739801490500679,0.666666666666667,0.666666666666667,0.117851130197758,1
"baseline_iid","fmrilss_oasis[fractional|x=0.05|b=0.05]",2,0.528699405347333,0.528699405347333,0.217201196343706,1.25342313849425,1.25342313849425,0.144294380709688,-0.162898287457317,-0.162898287457317,0.415504944853462,0.293806364122425,-0.106987771661526,-0.106987771661526,0.0909315975347799,0.106987771661526,0.666666666666667,0.666666666666667,0.0883883476483184,1
"baseline_iid","fmrilss_lss",2,0.527467076014452,0.527467076014452,0.220548513972064,1.339037535746,1.339037535746,0.156023855907889,-0.118437168788794,-0.118437168788794,0.444326230767587,0.31418609083482,-0.119605722028924,-0.119605722028924,0.0976288060814593,0.119605722028924,0.65625,0.65625,0.0736569563735987,1
"baseline_iid","st_default",2,0.521885796083101,0.521885796083101,0.131072273031895,0.844430921335617,0.844430921335617,0.192593683839296,-0.574978384743262,-0.574978384743262,0.11060748847163,0.574978384743262,0.00749934991635228,0.00749934991635228,0.0568286745144061,0.0401839411149797,0.697916666666667,0.697916666666667,0.0441941738241592,1
"baseline_iid","fmrilss_sbhm",2,0.243797395630523,0.243797395630523,0.190112696508962,2.43446996180776,2.43446996180776,0.332191137083339,-0.398667819076326,-0.398667819076326,0.531193684817462,0.398667819076326,-0.533483125457361,-0.533483125457361,0.0495907125657625,0.533483125457361,0.583333333333333,0.583333333333333,0.0294627825494395,1
"ar1_moderate","hrfals_fastlss[cpp]",2,0.426593970307601,0.426593970307601,0.246786843560266,1.68699469024853,1.68699469024853,0.173212140698546,-0.0590294021048872,-0.0590294021048872,0.573007954204439,0.40517781009179,0.000856953849532105,0.000856953849532105,0.132939655115084,0.0940025316204767,0.65625,0.65625,0.162045304021917,1
"ar1_moderate","hrfals_fastlss[r]",2,0.426593970307601,0.426593970307601,0.246786843560266,1.68699469024854,1.68699469024854,0.173212140698546,-0.0590294021048868,-0.0590294021048868,0.57300795420444,0.40517781009179,0.00085695384953205,0.00085695384953205,0.132939655115084,0.0940025316204767,0.65625,0.65625,0.162045304021917,1
"ar1_moderate","st_default",2,0.426373168055254,0.426373168055254,0.196143729678535,0.987395063646891,0.987395063646891,0.343817769432361,-0.615535458960059,-0.615535458960059,0.000369680567004376,0.615535458960059,0.0226584618176912,0.0226584618176912,0.0812517686786085,0.0574536766160448,0.625,0.625,0.147313912747197,1
"ar1_moderate","fmrilss_oasis[fractional|x=0.05|b=0.05]",2,0.408893473507054,0.408893473507054,0.262822814756056,1.66254155529871,1.66254155529871,0.268741648382414,-0.19235453761663,-0.19235453761663,0.560062226027969,0.39602379791081,-0.0768756291331215,-0.0768756291331215,0.109741670496624,0.0775990793869026,0.65625,0.65625,0.103119738923038,1
"ar1_moderate","fmrilss_lss",2,0.407334219369477,0.407334219369477,0.26548363192771,1.77325181868289,1.77325181868289,0.288602672245669,-0.150428011998612,-0.150428011998612,0.597823495380921,0.422725047536494,-0.086999155152376,-0.086999155152376,0.117545246348806,0.086999155152376,0.645833333333333,0.645833333333333,0.117851130197758,1
"ar1_moderate","fmrilss_sbhm",2,0.0337355640899251,0.0337355640899251,0.113152111560483,3.83907303267963,3.83907303267963,0.223095303271972,-0.562442842749693,-0.562442842749693,0.751795289177036,0.562442842749693,-1.456766208776,-1.456766208776,1.12998825228935,1.456766208776,0.479166666666667,0.479166666666667,0.0589255650988789,1
