"scenario","method","n","mean_cor","median_cor","sd_cor","mean_rmse","median_rmse","sd_rmse","success_rate","oasis_variant"
"h1_r1_c1__hrf_nominal__ar_iid__isi_dense__amp_none","st_default",6,0.348430719851327,0.348950581030409,0.022716407235517,0.941794105242601,0.9441847531729,0.0247867512582689,1,NA
"h1_r1_c1__hrf_nominal__ar_iid__isi_dense__amp_none","fmrilss_lss",6,0.341826117827626,0.341139305383903,0.0220089944032995,2.64154719377429,2.62014369024007,0.300461454602905,1,NA
"h1_r1_c1__hrf_nominal__ar_iid__isi_dense__amp_none","fmrilss_sbhm",6,0.191137155395538,0.206841799887035,0.0465881200546514,2.71848945826475,2.7800233895446,0.297450757748307,1,NA
"h1_r1_c1__hrf_nominal__ar_iid__isi_dense__amp_none","fmrilss_oasis_best",6,0.20390033693078,0.214588663115326,0.0381895847359408,2.97334690671175,2.94930474598222,0.125884415761038,1,"fmrilss_oasis[absolute|x=0.05|b=0.05]"
"h1_r1_c2__hrf_nominal__ar_iid__isi_mid__amp_mod","st_default",6,0.431080293320847,0.429457175475879,0.0247220568419783,1.01207437276227,1.02301284753955,0.0458255269762954,1,NA
"h1_r1_c2__hrf_nominal__ar_iid__isi_mid__amp_mod","fmrilss_lss",6,0.409097253377143,0.411601531811691,0.0205106404133125,2.26947664007263,2.2977067024435,0.108439230099555,1,NA
"h1_r1_c2__hrf_nominal__ar_iid__isi_mid__amp_mod","fmrilss_sbhm",6,0.257789124630361,0.266347809276858,0.0540250263826646,2.36682481175017,2.26219394559975,0.475815822814609,1,NA
"h1_r1_c2__hrf_nominal__ar_iid__isi_mid__amp_mod","fmrilss_oasis_best",6,0.409691996873412,0.412316326205781,0.0204835233051846,2.13953589795934,2.16615126873478,0.0977216816312859,1,"fmrilss_oasis[fractional|x=0.05|b=0.05]"
"h1_r1_c3__hrf_nominal__ar_iid__isi_sparse__amp_high","st_default",6,0.517027979043785,0.498831992163855,0.0623156509651312,1.06533719088172,1.04596315235543,0.0823595438008279,1,NA
"h1_r1_c3__hrf_nominal__ar_iid__isi_sparse__amp_high","fmrilss_lss",6,0.459788305448116,0.447375488621477,0.0263714609996751,2.22675268673394,2.23955275996976,0.157808304035098,1,NA
"h1_r1_c3__hrf_nominal__ar_iid__isi_sparse__amp_high","fmrilss_sbhm",6,0.284956666668161,0.281334233126441,0.0889600310251265,2.39816608801566,2.44462230948352,0.368032330014363,1,NA
"h1_r1_c3__hrf_nominal__ar_iid__isi_sparse__amp_high","fmrilss_oasis_best",6,0.349008884315947,0.336585214272759,0.0392456749538381,2.3202163566031,2.34813272351148,0.136085601679337,1,"fmrilss_oasis[absolute|x=0.05|b=0.05]"
"h1_r2_c1__hrf_nominal__ar_mod__isi_dense__amp_mod","st_default",6,0.348690026682428,0.350039915870269,0.0171842188299744,1.03566788460941,1.03864978917806,0.0239399928400127,1,NA
"h1_r2_c1__hrf_nominal__ar_mod__isi_dense__amp_mod","fmrilss_lss",6,0.335177903174028,0.339513773080595,0.0226451590393476,2.81780000061692,2.83532255429478,0.192637650107324,1,NA
"h1_r2_c1__hrf_nominal__ar_mod__isi_dense__amp_mod","fmrilss_sbhm",6,0.186899548576666,0.186381171697132,0.0671451825740582,2.95486381362215,2.94522929895536,0.290038603103353,1,NA
