"scenario","method","n","mean_cor","median_cor","sd_cor","mean_rmse","median_rmse","sd_rmse","mean_slope_bias","median_slope_bias","sd_slope_bias","mean_abs_slope_bias","mean_intercept_bias","median_intercept_bias","sd_intercept_bias","mean_abs_intercept_bias","mean_sign_acc","median_sign_acc","sd_sign_acc","success_rate","oasis_variant"
"h1_r1_c1__hrf_nominal__ar_iid__isi_dense__amp_none","st_default",6,0.35085080362283,0.355036898618934,0.0295157904048083,0.938684491544898,0.940836593264999,0.0249965923229679,-0.941733733350754,-0.944154705378648,0.0119503112840791,0.941733733350754,-0.0126876721215487,-0.0144467305910212,0.0200071103889275,0.0179909299995127,0.633101851851852,0.633101851851852,0.016020793030554,1,NA
"h1_r1_c1__hrf_nominal__ar_iid__isi_dense__amp_none","fmrilss_lss",6,0.340089572302046,0.336391187622443,0.0267044037347665,2.61084323474963,2.56561472863593,0.299856019019905,-0.012428792274877,-0.0286570551135996,0.174882880775473,0.141092143579179,-0.0234149135726472,-0.0262362793840416,0.0746629299248473,0.0584753360525837,0.609953703703704,0.609953703703704,0.0131558076281322,1,NA
"h1_r1_c1__hrf_nominal__ar_iid__isi_dense__amp_none","fmrilss_sbhm",6,0.262457115975054,0.247406718133241,0.0530700750483885,2.70225163961901,2.71039101721603,0.294874386474634,-0.215952038944045,-0.311460878287486,0.237354553187288,0.294801606273374,-0.0456991752258913,-0.0397405418645745,0.0590353878285142,0.0625352827534037,0.594521604938272,0.58912037037037,0.0248631657656146,1,NA
"h1_r1_c1__hrf_nominal__ar_iid__isi_dense__amp_none","fmrilss_oasis_best",6,0.34060720278062,0.337079026122722,0.0268802363448198,2.43813629295135,2.39713944121291,0.26986582849372,-0.0766257944080121,-0.0912496676549845,0.16276635335633,0.138318485020639,-0.0310450187030816,-0.0456196386067558,0.071745051788206,0.062366391377126,0.612654320987654,0.615740740740741,0.0112135198299907,1,"fmrilss_oasis[fractional|x=0.05|b=0.05]"
"h1_r1_c2__hrf_nominal__ar_iid__isi_mid__amp_mod","st_default",6,0.431080293320847,0.429457175475879,0.0247220568419783,1.01207437276227,1.02301284753955,0.0458255269762954,-0.945681277439081,-0.94589572021825,0.00740052486565903,0.945681277439081,-0.00264395136028447,0.000198317956280959,0.0121151238621635,0.00954184164009957,0.63966049382716,0.634259259259259,0.0164118030507968,1,NA
"h1_r1_c2__hrf_nominal__ar_iid__isi_mid__amp_mod","fmrilss_lss",6,0.409097253377143,0.411601531811691,0.0205106404133125,2.26947664007263,2.2977067024435,0.108439230099555,-0.0206839867957897,-0.0345537754424738,0.0927313826143284,0.0780888923903217,0.0120014776956009,0.0118127426469565,0.0230830584576401,0.0200671867383275,0.637731481481482,0.638888888888889,0.0301726144012738,1,NA
"h1_r1_c2__hrf_nominal__ar_iid__isi_mid__amp_mod","fmrilss_sbhm",6,0.286421084280112,0.301352870661252,0.0436365248130173,2.84489520586473,2.83366338405016,0.380598889545026,-0.250680344003142,-0.260699087102036,0.195648501521661,0.250680344003142,-0.00709192297581511,0.000116301325603965,0.0618776420163678,0.0452657310991525,0.602623456790123,0.608796296296296,0.0143941034769889,1,NA
"h1_r1_c2__hrf_nominal__ar_iid__isi_mid__amp_mod","fmrilss_oasis_best",6,0.409691996873412,0.412316326205781,0.0204835233051846,2.13953589795934,2.16615126873478,0.0977216816312859,-0.0758771903192331,-0.0894828557241808,0.0871234927387672,0.0924287138851816,0.0096647673684473,0.0117058364407282,0.0208677782024548,0.0174318506617241,0.63695987654321,0.637731481481481,0.0290752781460196,1,"fmrilss_oasis[fractional|x=0.05|b=0.05]"
"h1_r1_c3__hrf_nominal__ar_iid__isi_sparse__amp_high","st_default",6,0.517027979043785,0.498831992163855,0.0623156509651312,1.06533719088172,1.04596315235543,0.0823595438008279,-0.731315216525568,-0.739870102747958,0.0335676575752933,0.731315216525568,-0.0184317360472932,-0.0276040951684425,0.0419717465736324,0.0392875903328958,0.648533950617284,0.645833333333333,0.0132100027396764,1,NA
"h1_r1_c3__hrf_nominal__ar_iid__isi_sparse__amp_high","fmrilss_lss",6,0.459788305448116,0.447375488621477,0.0263714609996751,2.22675268673394,2.23955275996976,0.157808304035098,-0.0815313134293084,-0.0724475936027499,0.0346294459267564,0.0815313134293084,-0.00995319642377813,-0.013623804351417,0.0507644124463537,0.044478035167164,0.639274691358025,0.636574074074074,0.0141500649112049,1,NA
