"scenario","method","mean_cor","mean_rmse","success_rate","oasis_variant"
"h1_r1_c1__hrf_nominal__ar_iid__isi_dense__amp_none","st_default",0.3574345634048,0.943197453565853,1,NA
"h1_r1_c2__hrf_nominal__ar_iid__isi_mid__amp_mod","st_default",0.431080293320847,1.01207437276227,1,NA
"h1_r1_c3__hrf_nominal__ar_iid__isi_sparse__amp_high","st_default",0.517027979043785,1.06533719088172,1,NA
"h1_r2_c1__hrf_nominal__ar_mod__isi_dense__amp_mod","st_default",0.348690026682428,1.03566788460941,1,NA
"h1_r2_c2__hrf_nominal__ar_mod__isi_mid__amp_high","st_default",0.348565513664445,1.19524733069,1,NA
"h1_r2_c3__hrf_nominal__ar_mod__isi_sparse__amp_none","st_default",0.395699487965144,0.953107428904573,1,NA
"h1_r3_c1__hrf_nominal__ar_high__isi_dense__amp_high","st_default",0.340177686119999,1.27844323207008,1,NA
"h1_r3_c2__hrf_nominal__ar_high__isi_mid__amp_none","st_default",0.345389965674373,0.977796115257428,1,NA
"h1_r3_c3__hrf_nominal__ar_high__isi_sparse__amp_mod","st_default",0.36763950226271,1.05869658581103,1,NA
"h2_r1_c1__hrf_lag2_widen1p5__ar_iid__isi_dense__amp_none","fmrilss_sbhm",0.271091941110275,2.86439955808942,1,NA
"h2_r1_c2__hrf_lag2_widen1p5__ar_iid__isi_mid__amp_mod","hrfals_fastlss[cpp]",0.354363993980279,2.24891088826721,1,NA
"h2_r1_c3__hrf_lag2_widen1p5__ar_iid__isi_sparse__amp_high","hrfals_fastlss[r]",0.381438382141237,2.52867386157268,1,NA
"h2_r2_c1__hrf_lag2_widen1p5__ar_mod__isi_dense__amp_mod","fmrilss_oasis_best",0.241039252770353,3.00567302860204,1,"fmrilss_oasis[fractional|x=0.05|b=0.05]"
"h2_r2_c2__hrf_lag2_widen1p5__ar_mod__isi_mid__amp_high","st_default",0.301619055457411,1.22947557769168,1,NA
"h2_r2_c3__hrf_lag2_widen1p5__ar_mod__isi_sparse__amp_none","hrfals_fastlss[cpp]",0.314007856008989,2.36863203276138,1,NA
"h2_r3_c1__hrf_lag2_widen1p5__ar_high__isi_dense__amp_high","fmrilss_sbhm",0.245831982174235,4.14478422482151,1,NA
"h2_r3_c2__hrf_lag2_widen1p5__ar_high__isi_mid__amp_none","hrfals_fastlss[cpp]",0.236098971477984,3.01699146543047,1,NA
"h2_r3_c3__hrf_lag2_widen1p5__ar_high__isi_sparse__amp_mod","hrfals_fastlss[cpp]",0.270428452366584,2.84416717717642,1,NA
