"method","mean_cor"
"fmrilss_oasis[fractional|x=0.05|b=0.05]",0.381493822741493
"fmrilss_oasis[fractional|x=0.02|b=0.05]",0.381423702613804
"fmrilss_oasis[fractional|x=0.01|b=0.05]",0.381399014372249
"fmrilss_oasis[fractional|x=0.05|b=0.02]",0.381221758266386
"fmrilss_oasis[fractional|x=0.02|b=0.02]",0.381147400187057
"fmrilss_oasis[fractional|x=0.05|b=0.01]",0.381124703609388
"fmrilss_oasis[fractional|x=0.01|b=0.02]",0.38112120811008
"fmrilss_oasis[fractional|x=0.02|b=0.01]",0.381048820568242
"fmrilss_oasis[absolute|x=0.05|b=0.05]",0.381042305035822
"fmrilss_oasis[absolute|x=0.05|b=0.02]",0.381037167901272
"fmrilss_oasis[absolute|x=0.05|b=0.01]",0.381035452742149
"fmrilss_oasis[fractional|x=0.01|b=0.01]",0.381022087170741
"fmrilss_oasis[absolute|x=0.02|b=0.05]",0.38095957238481
"fmrilss_oasis[absolute|x=0.02|b=0.02]",0.38095437028665
"fmrilss_oasis[absolute|x=0.02|b=0.01]",0.380952633444345
"fmrilss_oasis[absolute|x=0.01|b=0.05]",0.380930301581796
"fmrilss_oasis[absolute|x=0.01|b=0.02]",0.380925076281324
"fmrilss_oasis[absolute|x=0.01|b=0.01]",0.380923331694621
"fmrilss_lss",0.380891364051989
"fmrilss_sbhm",0.364215466497339
"st_pool_joint_mult",0.231327781460504
"st_pool_mean",0.229072023289081
"st_pool_compcv_wnever",0.151476027153528
"st_pool_compcv_wB",0.150332918400558
"st_pool_compcv",0.111923023007377
