"method","mean_cor"
"st_default",0.329943618638637
"hrfals_fastlss[cpp]",0.324444738408704
"hrfals_fastlss[r]",0.324444738408704
"fmrilss_oasis[fractional|x=0.05|b=0.05]",0.322376742492378
"fmrilss_oasis[fractional|x=0.02|b=0.05]",0.322227873636508
"fmrilss_oasis[fractional|x=0.01|b=0.05]",0.322175052742827
"fmrilss_oasis[fractional|x=0.05|b=0.02]",0.322069444472694
"fmrilss_oasis[fractional|x=0.05|b=0.01]",0.321957251487963
"fmrilss_oasis[fractional|x=0.02|b=0.02]",0.321909676297861
"fmrilss_oasis[absolute|x=0.05|b=0.05]",0.321863831166618
"fmrilss_oasis[absolute|x=0.05|b=0.02]",0.321861652695651
"fmrilss_oasis[absolute|x=0.05|b=0.01]",0.321860926103653
"fmrilss_oasis[fractional|x=0.01|b=0.02]",0.32185292609512
"fmrilss_oasis[fractional|x=0.02|b=0.01]",0.321793458294178
"fmrilss_oasis[fractional|x=0.01|b=0.01]",0.321735255376675
"fmrilss_oasis[absolute|x=0.02|b=0.05]",0.321684475770603
"fmrilss_oasis[absolute|x=0.02|b=0.02]",0.321682213883694
"fmrilss_oasis[absolute|x=0.02|b=0.01]",0.321681459468795
"fmrilss_oasis[absolute|x=0.01|b=0.05]",0.321620416285794
"fmrilss_oasis[absolute|x=0.01|b=0.02]",0.321618124183369
"fmrilss_oasis[absolute|x=0.01|b=0.01]",0.321617359690201
"fmrilss_lss",0.321550147491939
"fmrilss_sbhm",0.26430436766934
"hrfals_fit[cf_als]",0.120408686320074
"hrfals_fit[ls_svd_1als]",0.120408686320074
"hrfals_fit[ls_svd_only]",0.0612292421356899
