"scenario","primary_st","mean_cor_st","mean_cor_lss","mean_rmse_st","mean_rmse_lss","delta_cor_mean","delta_cor_ci_lo","delta_cor_ci_hi","delta_rmse_mean","delta_rmse_ci_lo","delta_rmse_ci_hi","st_better_corr_rate","st_better_rmse_rate"
"h1_r1_c1__hrf_nominal__ar_iid__isi_dense__amp_none","st_default",0.348430719851327,0.341826117827626,0.941794105242601,2.64154719377429,0.00660460202370105,0.00253582574878408,0.0115427283439567,-1.69975308853169,-2.28726351979373,-1.36881616083072,1,1
"h1_r1_c2__hrf_nominal__ar_iid__isi_mid__amp_mod","st_default",0.431080293320847,0.409097253377143,1.01207437276227,2.26947664007263,0.0219830399437036,-0.00317761485076007,0.0406129371794109,-1.25740226731036,-1.4126610704556,-1.0850718468236,0.833333333333333,1
"h1_r1_c3__hrf_nominal__ar_iid__isi_sparse__amp_high","st_default",0.517027979043785,0.459788305448116,1.06533719088172,2.22675268673394,0.0572396735956694,0.0172908322553529,0.133663093220347,-1.16141549585222,-1.30442475721739,-1.01999722274454,1,1
"h1_r2_c1__hrf_nominal__ar_mod__isi_dense__amp_mod","st_default",0.348690026682428,0.335177903174028,1.03566788460941,2.81780000061692,0.0135121235084001,-0.00886541195018242,0.0323539527779789,-1.78213211600751,-1.97238238828558,-1.49446883563784,0.833333333333333,1
"h1_r2_c2__hrf_nominal__ar_mod__isi_mid__amp_high","st_default",0.348565513664445,0.322205934173331,1.19524733069,3.21307456624324,0.0263595794911136,-0.00114630504202201,0.0554581056055318,-2.01782723555325,-2.4094622203048,-1.70109458520701,0.833333333333333,1
"h1_r2_c3__hrf_nominal__ar_mod__isi_sparse__amp_none","st_default",0.395699487965144,0.378253693641137,0.953107428904573,2.36203859490098,0.0174457943240066,0.00857514807324267,0.0320647352223975,-1.40893116599641,-1.56956152560786,-1.24042667737548,1,1
"h1_r3_c1__hrf_nominal__ar_high__isi_dense__amp_high","st_default",0.340177686119999,0.293693533878674,1.27844323207008,3.96907807328603,0.0464841522413259,0.0217637116547147,0.0684312116035413,-2.69063484121595,-3.12472741134897,-2.23582891748619,1,1
"h1_r3_c2__hrf_nominal__ar_high__isi_mid__amp_none","st_default",0.345389965674373,0.322592937726258,0.977796115257428,3.4495459662589,0.0227970279481151,0.00954442976493453,0.0323196064572635,-2.47174985100147,-2.75065469840906,-2.20746006595181,1,1
"h1_r3_c3__hrf_nominal__ar_high__isi_sparse__amp_mod","st_default",0.36763950226271,0.352921438712492,1.05869658581103,2.92644128856446,0.0147180635502179,-0.0065130761269046,0.041564312082602,-1.86774470275343,-2.19527384414972,-1.48879268164208,0.833333333333333,1
"h2_r1_c1__hrf_lag2_widen1p5__ar_iid__isi_dense__amp_none","st_default",0.243830380395155,0.261078398276293,0.9829333872731,2.60083270675918,-0.0172480178811388,-0.037815594600031,0.00099411156650836,-1.61789931948609,-2.14965274615327,-1.28036405575405,0.166666666666667,1
"h2_r1_c2__hrf_lag2_widen1p5__ar_iid__isi_mid__amp_mod","st_default",0.342764776580804,0.353579901947546,1.07664636075794,2.3357783114714,-0.0108151253667415,-0.0472724407196674,0.011807655895909,-1.25913195071346,-1.47319336232078,-1.13014193108871,0.333333333333333,1
"h2_r1_c3__hrf_lag2_widen1p5__ar_iid__isi_sparse__amp_high","st_default",0.374247604570205,0.378775609488051,1.29510924456948,2.5836423663773,-0.00452800491784561,-0.0513254711134035,0.043143770079185,-1.28853312180782,-1.75365601630829,-1.12164753492748,0.5,1
"h2_r2_c1__hrf_lag2_widen1p5__ar_mod__isi_dense__amp_mod","st_default",0.224597176518562,0.240786926082449,1.06921186619458,3.22134117203735,-0.0161897495638868,-0.0351592826671339,-0.00237301429226713,-2.15212930584277,-2.58066709672604,-1.78903668800332,0,1
"h2_r2_c2__hrf_lag2_widen1p5__ar_mod__isi_mid__amp_high","st_default",0.301619055457411,0.294337194389034,1.22947557769168,2.93666825220963,0.00728186106837747,-0.0145636174686796,0.0350515295516757,-1.70719267451795,-1.91295669076414,-1.37798251723657,0.666666666666667,1
"h2_r2_c3__hrf_lag2_widen1p5__ar_mod__isi_sparse__amp_none","st_default",0.305432308748768,0.309199768581084,0.986451585634397,2.51566846288883,-0.00376745983231581,-0.0323015861279184,0.0348169535786108,-1.52921687725443,-1.88206865710187,-1.19023318111295,0.5,1
"h2_r3_c1__hrf_lag2_widen1p5__ar_high__isi_dense__amp_high","st_default",0.226945218596544,0.24443880693194,1.24725631531993,3.68234186134192,-0.0174935883353958,-0.052728022441877,0.015972241720064,-2.43508554602199,-3.25014098675208,-1.80442387811185,0.333333333333333,1
"h2_r3_c2__hrf_lag2_widen1p5__ar_high__isi_mid__amp_none","st_default",0.219302014358219,0.214441677751103,0.969092347030558,3.16578833539204,0.00486033660711507,-0.0106576469943967,0.0493177847235815,-2.19669598836148,-2.448554975308,-1.79785812216144,0.333333333333333,1
"h2_r3_c3__hrf_lag2_widen1p5__ar_high__isi_sparse__amp_mod","st_default",0.248541582131272,0.269118803164228,1.0421368665032,2.94996850275132,-0.0205772210329566,-0.0311651997287664,-0.00296683133101774,-1.90783163624811,-2.11197267888141,-1.67215918716033,0,1
