"scenario","primary_st","mean_cor_st","mean_cor_lss","mean_rmse_st","mean_rmse_lss","mean_sign_acc_st","mean_sign_acc_lss","mean_slope_bias_st","mean_slope_bias_lss","mean_intercept_bias_st","mean_intercept_bias_lss","delta_cor_mean","delta_cor_ci_lo","delta_cor_ci_hi","delta_rmse_mean","delta_rmse_ci_lo","delta_rmse_ci_hi","delta_sign_acc_mean","delta_sign_acc_ci_lo","delta_sign_acc_ci_hi","delta_slope_bias_mean","delta_slope_bias_ci_lo","delta_slope_bias_ci_hi","delta_abs_slope_bias_mean","delta_abs_slope_bias_ci_lo","delta_abs_slope_bias_ci_hi","delta_intercept_bias_mean","delta_intercept_bias_ci_lo","delta_intercept_bias_ci_hi","delta_abs_intercept_bias_mean","delta_abs_intercept_bias_ci_lo","delta_abs_intercept_bias_ci_hi","st_better_corr_rate","st_better_rmse_rate","st_better_sign_acc_rate","st_lower_abs_slope_bias_rate","st_lower_abs_intercept_bias_rate"
"h1_r1_c1__hrf_nominal__ar_iid__isi_dense__amp_none","st_pool_compcv_wnever",0.0226677386655253,0.351131989982292,0.992670480214545,2.56834378195426,0.210262345679012,0.617283950617284,-1.00044394366568,0.00782309858504308,-0.00300457272241653,-0.0165547258860966,-0.328464251316766,-0.400519017845527,-0.264922348151804,-1.57567330173972,-2.04133335793468,-1.30719703350692,-0.407021604938272,-0.541666666666667,-0.252314814814815,-1.00826704225072,-1.30772379007704,-0.778878820293565,0.854744285601031,0.683942905720414,0.955047757137059,0.0135501531636801,-0.0332043901892781,0.0907072475578146,-0.0293330456151798,-0.083862965756196,-0.000900635906630573,0,1,0,0,1
"h1_r1_c2__hrf_nominal__ar_iid__isi_mid__amp_mod","st_pool_compcv_wnever",0.100984661623286,0.499534218741113,1.06465148697159,1.79127074118688,0.283564814814815,0.660108024691358,-0.990847468702703,-0.0202588227694601,-0.000342964938802678,0.00203931818811865,-0.398549557117828,-0.574316568577789,-0.177281889637784,-0.726619254215292,-0.965627068439733,-0.498304536563483,-0.376543209876543,-0.636574074074074,-0.0185185185185185,-0.970588645933243,-1.05782154150252,-0.894383803294733,0.936037043138992,0.894383803294733,0.965833100572762,-0.00238228312692132,-0.125376520735009,0.0505047887844384,-0.0573998668143133,-0.125376520735009,-0.0242995326732902,0,1,0,0,1
"h1_r1_c3__hrf_nominal__ar_iid__isi_sparse__amp_high","st_pool_compcv_wnever",0.406432271302251,0.619252741652827,1.20345388348485,1.57277362980034,0.359953703703704,0.659722222222222,-0.928204805830243,0.00671515416261901,-0.0145168999759384,-0.0757624890992885,-0.212820470350576,-0.535532053880984,-0.0327416628230616,-0.369319746315494,-0.621010990798884,-0.225830759860261,-0.299768518518519,-0.618055555555556,0,-0.934919959992862,-1.02218259105569,-0.788291637453832,0.893871503991907,0.644155424201268,0.981827485083483,0.0612455891233501,-0.0772580659730967,0.127357560238035,-0.0862269409527361,-0.127357560238035,-0.0473737707369631,0,1,0,0,1
"h1_r2_c1__hrf_nominal__ar_mod__isi_dense__amp_mod","st_pool_compcv_wnever",0.0608737610569602,0.345811211084566,1.09166081146815,2.73185624406458,0.310185185185185,0.60570987654321,-0.996953074484345,-0.0407102642625547,-0.00280409495178223,-0.0225304952325206,-0.284937450027606,-0.370002968350578,-0.239561667091512,-1.64019543259643,-1.83666498618404,-1.39436286760576,-0.295524691358025,-0.388888888888889,-0.180555555555556,-0.95624281022179,-1.07793192073378,-0.854001596511497,0.906995648917471,0.854001596511497,0.995782370065718,0.0197264002807384,-0.0339139421945164,0.0758177178489372,-0.0354549443402923,-0.0758177178489372,-0.00436633701434102,0,1,0,0,1
"h1_r2_c2__hrf_nominal__ar_mod__isi_mid__amp_high","st_pool_compcv_wnever",0.146968433350012,0.428364638907984,1.24159672132553,2.55182765215474,0.382716049382716,0.630401234567901,-0.981395444102817,-0.0412488500227195,-0.00869428327312571,-0.0407373491405165,-0.281396205557972,-0.403773643644868,-0.0432924387943491,-1.31023093082921,-1.91212873376489,-0.991488946031292,-0.247685185185185,-0.451388888888889,0.00462962962962965,-0.940146594080097,-1.07547837474425,-0.673536970738556,0.886554154790433,0.673536970738556,0.971634176654756,0.0320430658673908,-0.14130531100914,0.232791460964731,-0.103483680426905,-0.232791460964731,-0.0286809419129195,0,1,0.166666666666667,0,1
"h1_r2_c3__hrf_nominal__ar_mod__isi_sparse__amp_none","st_pool_compcv_wnever",0.279846704580995,0.486628749129205,0.976747150789432,1.85568879838171,0.555555555555556,0.674382716049383,-0.940202713788498,0.0282457953569204,0.00457784372122901,-0.0192377594367542,-0.20678204454821,-0.45593517098366,-0.0397313633418429,-0.878941647592279,-0.939257234773868,-0.809164644872838,-0.118827160493827,-0.645833333333333,0.0231481481481481,-0.968448509145418,-1.15639221215229,-0.771189512630606,0.856613787340551,0.760374489884602,0.980062147959612,0.0238156031579832,-0.120266010659979,0.217330665839794,-0.0864519574617785,-0.217330665839794,-0.0135778810085078,0,1,0.166666666666667,0,1
"h1_r3_c1__hrf_nominal__ar_high__isi_dense__amp_high","st_pool_compcv_wnever",0.06248216774608,0.30846309711327,1.35388081601333,3.77125978196753,0.354552469135802,0.592592592592593,-0.995369030731267,-0.0509149589909264,-0.00433035020371798,-0.0235830799400874,-0.24598092936719,-0.342751253055318,-0.209089187929362,-2.4173789659542,-2.78578534012367,-1.99801407709445,-0.23804012345679,-0.310185185185185,-0.159722222222222,-0.94445407174034,-1.10998207062574,-0.761570716447023,0.877321006616824,0.761570716447023,0.97848078732586,0.0192527297363694,-0.049919391175602,0.0898346450517878,-0.035280237197455,-0.0898346450517878,-0.00277555048263962,0,1,0,0,1
"h1_r3_c2__hrf_nominal__ar_high__isi_mid__amp_none","st_pool_compcv_wnever",0.103934444723999,0.374561407962594,1.01502449063476,2.78839988780627,0.424382716049383,0.626929012345679,-0.98576144508042,0.111256942068946,-0.00411600945764933,-0.0270979373630906,-0.270626963238595,-0.430116264040682,-0.133181133050306,-1.77337539717151,-2.12557032919828,-1.57091639763364,-0.202546296296296,-0.381944444444444,-0.048611111111111,-1.09701838714937,-1.19535974130262,-0.95948710477744,0.864450334680725,0.742932238367447,0.95948710477744,0.0229819279054413,-0.075165937083782,0.11099075938501,-0.0458773148270025,-0.11099075938501,-0.00192191566898896,0,1,0,0,1
"h1_r3_c3__hrf_nominal__ar_high__isi_sparse__amp_mod","st_pool_compcv_wnever",0.161600798851469,0.425740035530577,1.11401517930378,2.29967271321808,0.380401234567901,0.626929012345679,-0.982645244873995,-0.00506415631764467,0.000533231006292958,-0.0420093381487671,-0.264139236679107,-0.41533387030178,-0.100309025930243,-1.1856575339143,-1.27385314235547,-0.927462029990219,-0.246527777777778,-0.502314814814815,0.0138888888888888,-0.97758108855635,-1.08959282147601,-0.902484277739517,0.916866252996484,0.861744694553875,0.994798461490475,0.0425425691550601,0.00878589096812469,0.0838842138037168,-0.0398635058935989,-0.0838842138037168,-0.00878589096812469,0,1,0.166666666666667,0,1
"h2_r1_c1__hrf_lag2_widen1p5__ar_iid__isi_dense__amp_none","st_pool_compcv_wnever",0.0242640453786518,0.27644602653696,1.02040035625079,2.46788509256774,0.13233024691358,0.595679012345679,-0.999480803955616,-0.265765629423505,0.00137385626052597,0.00559268059854512,-0.252181981158308,-0.325607855420507,-0.179856328212075,-1.44748473631695,-1.91615234129408,-1.1101357038666,-0.463348765432099,-0.546296296296296,-0.335648148148148,-0.73371517453211,-1.02571425674688,-0.432682659570871,0.724699970729836,0.432682659570871,0.971623033933233,-0.00421882433801915,-0.0771385564405248,0.0419307454302732,-0.0302001620130205,-0.073404515700392,-0.000794128644673994,0,1,0,0,1
"h2_r1_c2__hrf_lag2_widen1p5__ar_iid__isi_mid__amp_mod","st_pool_compcv_wnever",0.0916822856558858,0.422044731019348,1.12074172507533,1.96762108481463,0.207175925925926,0.626929012345679,-0.977791754032168,-0.164173323254809,0.00923981087260724,-0.00111045604572658,-0.330362445363462,-0.459636977764523,-0.0164878619028227,-0.846879359739302,-0.998076718737726,-0.758496077192581,-0.419753086419753,-0.597222222222222,0.0092592592592593,-0.813618430777359,-1.00234520823999,-0.516381900361261,0.812410511883906,0.516381900361261,0.995097694879272,0.0103502669183338,-0.0682801714049485,0.0570130577411367,-0.0333643719869031,-0.0682801714049485,0.0347192505409409,0,1,0.166666666666667,0,0.833333333333333
"h2_r1_c3__hrf_lag2_widen1p5__ar_iid__isi_sparse__amp_high","st_pool_compcv_wnever",0.226486595216259,0.533584919933506,1.38622576529935,1.6272266082403,0.258101851851852,0.625771604938272,-0.988105666851152,-0.236967401545912,-0.00182114588085697,-0.11590745714832,-0.307098324717247,-0.515157996362163,-0.112236281893701,-0.241000842940946,-0.36866861560523,0.120456569816948,-0.36766975308642,-0.553240740740741,-0.0208333333333333,-0.75113826530524,-0.851690682306975,-0.61846158386496,0.75113826530524,0.61846158386496,0.851690682306975,0.114086311267463,-0.00535696306362172,0.191302047915663,-0.113628036246235,-0.191302047915663,0.0029324523323856,0,0.833333333333333,0,0,0.833333333333333
