"scenario","method","n","mean_cor","median_cor","sd_cor","mean_rmse","median_rmse","sd_rmse","success_rate"
"r3_c3__ar_high__isi_sparse__amp_mod","st_default",6,0.36763950226271,0.37599164786735,0.0569950963843878,1.05869658581103,1.0599814967173,0.0518091564700524,1
"r3_c3__ar_high__isi_sparse__amp_mod","fmrilss_lss",6,0.351061971286784,0.358791319556555,0.0511974461175424,2.8695013194684,2.9092719128236,0.196826666968009,1
"r3_c3__ar_high__isi_sparse__amp_mod","fmrilss_oasis[fractional|x=0.02|b=0.02]",6,0.226846218705162,0.226095538490203,0.0385026556250666,4.07159494058885,4.14888234249427,0.264109001140544,1
"r3_c3__ar_high__isi_sparse__amp_mod","fmrilss_sbhm",6,0.186017396879465,0.194700627708061,0.0525613710022864,4.33976787501916,4.37945116745304,0.718133552593866,1
"r3_c3__ar_high__isi_sparse__amp_mod","fmrilss_oasis[absolute|x=0|b=0]",6,0.124594386061675,0.120818647381125,0.0262009160404386,9.7535948926931,9.8201603432608,1.00955826008158,1
"r3_c2__ar_high__isi_mid__amp_none","fmrilss_lss",6,0.317551200588441,0.322938907908838,0.0361108439506667,3.45894800489309,3.48042411651417,0.2570106245907,1
"r3_c2__ar_high__isi_mid__amp_none","fmrilss_oasis[fractional|x=0.02|b=0.02]",6,0.209728837486328,0.220240448801066,0.0498323863468854,4.40526035259741,4.42701578978588,0.178717070282124,1
"r3_c2__ar_high__isi_mid__amp_none","fmrilss_sbhm",6,0.152581949926649,0.171914485882723,0.0494765220276419,3.71682448987212,3.54789999706678,0.694775697555611,1
"r3_c2__ar_high__isi_mid__amp_none","fmrilss_oasis[absolute|x=0|b=0]",6,0.109171836194979,0.106271166789658,0.0388917438948324,10.628113251465,10.5877640163255,0.934922765478249,1
"r3_c2__ar_high__isi_mid__amp_none","st_default",6,NA,NA,NA,NA,NA,NA,0
"r3_c1__ar_high__isi_dense__amp_high","st_default",6,0.340177686119999,0.34258099370481,0.0461291805742138,1.27844323207008,1.26442417679778,0.18838731126173,1
"r3_c1__ar_high__isi_dense__amp_high","fmrilss_lss",6,0.29010204878267,0.293641045445373,0.0322945060130594,3.9704488306233,3.95650553275863,0.478355389515126,1
"r3_c1__ar_high__isi_dense__amp_high","fmrilss_oasis[fractional|x=0.02|b=0.02]",6,0.144510618014902,0.145120337476141,0.032395560296881,6.56833868159831,6.40682912658472,0.59163570960392,1
"r3_c1__ar_high__isi_dense__amp_high","fmrilss_sbhm",6,0.143204017034505,0.16162177485618,0.0607102947932662,3.93225499123002,3.98045131807939,0.790976943629598,1
"r3_c1__ar_high__isi_dense__amp_high","fmrilss_oasis[absolute|x=0|b=0]",6,0.110582340563857,0.103992506168416,0.039455857617868,10.5147316820516,10.4561655813403,0.821277971090288,1
"r2_c3__ar_mod__isi_sparse__amp_none","fmrilss_lss",6,0.377407281028511,0.381803658198501,0.0402665367503335,2.36377243655913,2.34920373344983,0.120758872058241,1
"r2_c3__ar_mod__isi_sparse__amp_none","fmrilss_oasis[fractional|x=0.02|b=0.02]",6,0.235991009597566,0.230274296410258,0.0393092821697138,3.88699837053132,3.88401129986892,0.211193942935612,1
"r2_c3__ar_mod__isi_sparse__amp_none","fmrilss_oasis[absolute|x=0|b=0]",6,0.168569550893562,0.153359185281714,0.0578874983633797,6.84237854428524,6.82026914058697,0.666127250942399,1
"r2_c3__ar_mod__isi_sparse__amp_none","fmrilss_sbhm",6,0.161858648598281,0.160141390896752,0.0600087779502268,4.36997082224423,4.64141603857775,0.520542747299483,1
"r2_c3__ar_mod__isi_sparse__amp_none","st_default",6,NA,NA,NA,NA,NA,NA,0
"r2_c2__ar_mod__isi_mid__amp_high","fmrilss_oasis[fractional|x=0.02|b=0.02]",6,0.31984030900859,0.31156509075573,0.0248777861543135,3.18959565621768,3.2098581154781,0.345315445119465,1
"r2_c2__ar_mod__isi_mid__amp_high","fmrilss_lss",6,0.319271051576329,0.310922829672329,0.0247981256102983,3.27820723780506,3.30102577260671,0.357739605156001,1
"r2_c2__ar_mod__isi_mid__amp_high","fmrilss_oasis[absolute|x=0|b=0]",6,0.319271051576329,0.310922829672329,0.0247981256102983,3.27820723780506,3.30102577260671,0.357739605156001,1
"r2_c2__ar_mod__isi_mid__amp_high","fmrilss_sbhm",6,0.131849141513712,0.120293867508791,0.0346262598837409,4.05731838107562,3.42538025349159,1.10876175386497,1
"r2_c2__ar_mod__isi_mid__amp_high","st_default",6,NA,NA,NA,NA,NA,NA,0
