"scenario","method","n","mean_cor","median_cor","sd_cor","mean_rmse","median_rmse","sd_rmse","mean_slope_bias","median_slope_bias","sd_slope_bias","mean_abs_slope_bias","mean_intercept_bias","median_intercept_bias","sd_intercept_bias","mean_abs_intercept_bias","mean_sign_acc","median_sign_acc","sd_sign_acc","success_rate"
"h2_r3_c3__hrf_lag2_widen1p5__ar_high__isi_sparse__amp_mod","fmrilss_oasis[fractional|x=0.05|b=0.05]",6,0.269390832260304,0.273201475002909,0.0417786239213917,2.7885517737214,2.75566346633751,0.162348327791559,-0.23241349820869,-0.231495264801391,0.13237218321317,0.23241349820869,0.0220624975396774,0.0133190323571684,0.0643981202455164,0.0455938914119907,0.591820987654321,0.590277777777778,0.0180891583482625,1
"h2_r3_c3__hrf_lag2_widen1p5__ar_high__isi_sparse__amp_mod","fmrilss_oasis[fractional|x=0.02|b=0.05]",6,0.269356819491841,0.273247981407496,0.0418186040934985,2.87572821889555,2.84130295894911,0.168387451426474,-0.207709011268093,-0.206718254634242,0.136833467561917,0.207709011268093,0.0231551055952861,0.0143498955182073,0.0663894660401422,0.0473268534711681,0.591820987654321,0.590277777777778,0.0180891583482625,1
"h2_r3_c3__hrf_lag2_widen1p5__ar_high__isi_sparse__amp_mod","fmrilss_oasis[fractional|x=0.01|b=0.05]",6,0.269344782114513,0.273263946529834,0.041832530884962,2.90615935355566,2.8711995252116,0.170498214782217,-0.199114958447502,-0.198098342971772,0.138388587587169,0.199114958447502,0.0235408514851898,0.0147171886561176,0.0670813469937488,0.0479334957004748,0.591820987654321,0.590277777777778,0.0180891583482625,1
"h2_r3_c3__hrf_lag2_widen1p5__ar_high__isi_sparse__amp_mod","fmrilss_oasis[fractional|x=0.05|b=0.02]",6,0.269271527033665,0.273039909661363,0.0419167357033128,2.79498567067257,2.76208518395683,0.162323388513353,-0.230694752671374,-0.229242531977598,0.132791652460699,0.230694752671374,0.024938663668041,0.0185055839783603,0.0589289909323046,0.0443348912128888,0.590663580246914,0.58912037037037,0.0191678221754627,1
"h2_r3_c3__hrf_lag2_widen1p5__ar_high__isi_sparse__amp_mod","fmrilss_oasis[fractional|x=0.02|b=0.02]",6,0.26923532984536,0.273088206235451,0.0419589946661202,2.88267530705571,2.84823751979532,0.168381603034601,-0.205860597172512,-0.204312701797485,0.137286393743517,0.205860597172512,0.0261438573130452,0.019731846071156,0.0607490571713501,0.0460396322580123,0.590663580246914,0.58912037037037,0.0191678221754627,1
"h2_r3_c3__hrf_lag2_widen1p5__ar_high__isi_sparse__amp_mod","fmrilss_oasis[fractional|x=0.05|b=0.01]",6,0.269228543857029,0.272982209140321,0.041965156539886,2.79728843886991,2.7643946147508,0.162318410099631,-0.230097136218523,-0.228456838114398,0.132938969558944,0.230097136218523,0.0259411303913636,0.0203126521486182,0.0570809547317864,0.0438961732393281,0.591049382716049,0.58912037037037,0.0187295079301837,1
"h2_r3_c3__hrf_lag2_widen1p5__ar_high__isi_sparse__amp_mod","fmrilss_oasis[fractional|x=0.01|b=0.02]",6,0.269222514439585,0.273104781656538,0.0419737189126596,2.91329057369199,2.87831802957118,0.1704993937461,-0.197220194041771,-0.195638289641711,0.138853503574864,0.197220194041771,0.026569113672149,0.020167585761864,0.0613815045611166,0.0466366639550388,0.590663580246914,0.58912037037037,0.0191678221754627,1
"h2_r3_c3__hrf_lag2_widen1p5__ar_high__isi_sparse__amp_mod","fmrilss_oasis[fractional|x=0.02|b=0.01]",6,0.269191556864751,0.27303112084715,0.0420082238767538,2.88515995823642,2.85072906438487,0.16838333036143,-0.205217708604783,-0.203473495183905,0.137445448607466,0.205217708604783,0.0271857891426462,0.0216073576025741,0.058843570647024,0.0455910035459837,0.591049382716049,0.58912037037037,0.0187295079301837,1
"h2_r3_c3__hrf_lag2_widen1p5__ar_high__isi_sparse__amp_mod","fmrilss_oasis[absolute|x=0.05|b=0.05]",6,0.269190216792909,0.272918579232618,0.0420074430140287,2.7886732103091,2.75598238589607,0.161563659984063,-0.232607706574085,-0.230795269830049,0.132523883735263,0.232607706574085,0.0267686974990232,0.0219218611016723,0.0550863287580257,0.043256839556207,0.591820987654321,0.590277777777778,0.0180891583482625,1
"h2_r3_c3__hrf_lag2_widen1p5__ar_high__isi_sparse__amp_mod","fmrilss_oasis[absolute|x=0.05|b=0.02]",6,0.269189154531418,0.272917157574194,0.042008615601464,2.78872942760164,2.75603896572704,0.161563578237328,-0.232593428951141,-0.230776436786754,0.132527429196853,0.232593428951141,0.0267927974424493,0.0219652995273934,0.0550431400897436,0.0432462730329826,0.591820987654321,0.590277777777778,0.0180891583482625,1
