"scenario","method","mean_cor","mean_rmse","success_rate"
"h1_r1_c1__hrf_nominal__ar_iid__isi_dense__amp_none","st_default",0.35047879608216,0.942644510584188,1
"h1_r1_c2__hrf_nominal__ar_iid__isi_mid__amp_mod","st_default",0.431080293320847,1.01207437276227,1
"h1_r1_c3__hrf_nominal__ar_iid__isi_sparse__amp_high","st_default",0.517027979043785,1.06533719088172,1
"h1_r2_c1__hrf_nominal__ar_mod__isi_dense__amp_mod","st_default",0.348690026682428,1.03566788460941,1
"h1_r2_c2__hrf_nominal__ar_mod__isi_mid__amp_high","st_default",0.348565513664445,1.19524733069,1
"h1_r2_c3__hrf_nominal__ar_mod__isi_sparse__amp_none","st_default",0.395699487965144,0.953107428904573,1
"h1_r3_c1__hrf_nominal__ar_high__isi_dense__amp_high","st_default",0.340177686119999,1.27844323207008,1
"h1_r3_c2__hrf_nominal__ar_high__isi_mid__amp_none","st_default",0.345389965674373,0.977796115257428,1
"h1_r3_c3__hrf_nominal__ar_high__isi_sparse__amp_mod","st_default",0.36763950226271,1.05869658581103,1
"h2_r1_c1__hrf_lag2_widen1p5__ar_iid__isi_dense__amp_none","fmrilss_sbhm",0.303436602648246,3.90744878206703,1
"h2_r1_c2__hrf_lag2_widen1p5__ar_iid__isi_mid__amp_mod","fmrilss_sbhm",0.385727109062284,3.52736005846754,1
"h2_r1_c3__hrf_lag2_widen1p5__ar_iid__isi_sparse__amp_high","fmrilss_sbhm",0.430282218513005,3.87592146634894,1
"h2_r2_c1__hrf_lag2_widen1p5__ar_mod__isi_dense__amp_mod","fmrilss_sbhm",0.266636090905456,4.93681289598835,1
"h2_r2_c2__hrf_lag2_widen1p5__ar_mod__isi_mid__amp_high","fmrilss_sbhm",0.325617419737814,4.56374894514661,1
"h2_r2_c3__hrf_lag2_widen1p5__ar_mod__isi_sparse__amp_none","fmrilss_sbhm",0.345277763032705,3.69844881349877,1
"h2_r3_c1__hrf_lag2_widen1p5__ar_high__isi_dense__amp_high","fmrilss_sbhm",0.280306258987537,5.79682408283295,1
"h2_r3_c2__hrf_lag2_widen1p5__ar_high__isi_mid__amp_none","fmrilss_sbhm",0.250819397136006,4.91707937032548,1
"h2_r3_c3__hrf_lag2_widen1p5__ar_high__isi_sparse__amp_mod","fmrilss_sbhm",0.307771140755373,4.52457975103302,1
