"scenario","method","n","mean_cor","median_cor","sd_cor","mean_rmse","median_rmse","sd_rmse","mean_slope_bias","median_slope_bias","sd_slope_bias","mean_abs_slope_bias","mean_intercept_bias","median_intercept_bias","sd_intercept_bias","mean_abs_intercept_bias","mean_sign_acc","median_sign_acc","sd_sign_acc","success_rate"
"h2_r3_c3__hrf_lag2_widen1p5__ar_high__isi_sparse__amp_mod","fmrilss_sbhm",40,0.298066629513116,0.291488281540041,0.0471669157620641,4.3312295671584,4.35702644237992,0.435447707433065,0.307965770485315,0.313254327836201,0.264000672992166,0.33212976427165,-0.00892562224242036,0.00681089329025752,0.124935840314513,0.0962774995210929,0.595543981481481,0.59375,0.026548596933681,1
"h2_r3_c3__hrf_lag2_widen1p5__ar_high__isi_sparse__amp_mod","hrfals_fastlss[cpp]",40,0.273515211993495,0.275113513770074,0.0485346445690339,2.82366087957105,2.81135704210195,0.202763882338427,-0.264791635563105,-0.249031527569195,0.155714624937117,0.268361469370887,-0.0206002581568162,-0.0179092290223722,0.304922538131824,0.252556032088622,0.595196759259259,0.597222222222222,0.0249873977900608,1
"h2_r3_c3__hrf_lag2_widen1p5__ar_high__isi_sparse__amp_mod","hrfals_fastlss[r]",40,0.273515211993495,0.275113513770074,0.0485346445690339,2.82366087957105,2.81135704210195,0.202763882338428,-0.264791635563104,-0.249031527569194,0.155714624937117,0.268361469370886,-0.0206002581568162,-0.017909229022372,0.304922538131825,0.252556032088622,0.595196759259259,0.597222222222222,0.0249873977900608,1
"h2_r3_c3__hrf_lag2_widen1p5__ar_high__isi_sparse__amp_mod","fmrilss_oasis_best",40,0.270555075802694,0.27162185274009,0.0503381444644071,2.78570371839649,2.80510318340162,0.235998399595364,-0.241577146979465,-0.231882989158857,0.16602717878475,0.246931064065622,-0.00665779603052074,-0.000562645641475033,0.0858423646168151,0.0698176849888152,0.591145833333333,0.591435185185185,0.0261507489067014,1
"h2_r3_c3__hrf_lag2_widen1p5__ar_high__isi_sparse__amp_mod","fmrilss_lss",40,0.270014106066072,0.270903319031004,0.0504321089528738,2.92320113234108,2.92844549289067,0.239162244288111,-0.204604499230147,-0.188242962417929,0.171287143352718,0.2168093839095,-0.00682719498234027,-0.000513115338841181,0.0844875313581012,0.0683129297126978,0.59068287037037,0.591435185185185,0.026141290133258,1
"h2_r3_c3__hrf_lag2_widen1p5__ar_high__isi_sparse__amp_mod","st_default",40,0.268701531645548,0.274010397653555,0.0502744784643194,1.04129992763604,1.04138127676831,0.0533791144960573,-0.953694460688655,-0.956126984440981,0.0161983279229406,0.953694460688655,-0.00247824007276588,-0.00151417957559422,0.0234351586534094,0.0162037473754664,0.593171296296296,0.59375,0.0259559566101819,1
"h2_r3_c3__hrf_lag2_widen1p5__ar_high__isi_sparse__amp_mod","hrfals_fit[cf_als]",40,0.0896619290649752,0.0956707563623017,0.0511189207682056,1.64412119747941,1.65548985994962,0.140790476526499,-0.878232816378901,-0.880122878951457,0.0600560597607805,0.878232816378901,-0.010478066161969,0.0198200574177817,0.149090764459915,0.110016944925378,0.533854166666667,0.538194444444444,0.0237266708931556,1
"h2_r3_c3__hrf_lag2_widen1p5__ar_high__isi_sparse__amp_mod","hrfals_fit[ls_svd_1als]",40,0.0896619290649752,0.0956707563623017,0.0511189207682056,1.64411976511806,1.65549266263321,0.140791961029097,-0.878231395211075,-0.880123073461276,0.0600560250375091,0.878231395211075,-0.0104777985143121,0.0198212989714325,0.149091344424559,0.110016970414446,0.533854166666667,0.538194444444444,0.0237266708931556,1
"h2_r3_c3__hrf_lag2_widen1p5__ar_high__isi_sparse__amp_mod","hrfals_fit[ls_svd_only]",40,0.032290134870523,0.0308356636607421,0.0606746012644634,1.10608339037786,1.106708709264,0.0557456347796419,-0.988910049242356,-0.987578070868636,0.0164632242082984,0.988910049242356,-0.00178181822515115,-1.50143504076918e-05,0.0234415200947794,0.0180082753195953,0.513194444444445,0.515046296296296,0.029935579127221,1
"h2_r3_c2__hrf_lag2_widen1p5__ar_high__isi_mid__amp_none","fmrilss_sbhm",40,0.281043386070213,0.270533943207658,0.0392091670264063,4.48020026971952,4.52152070282937,0.312889004984562,0.3628467702504,0.335233852459839,0.24086171093438,0.372378314197622,-0.00359773578758233,-0.00700096009095988,0.0922522756845625,0.0740818291390206,0.592476851851852,0.58912037037037,0.0202409311295218,1
