"scenario","method","n","mean_cor","median_cor","sd_cor","mean_rmse","median_rmse","sd_rmse","mean_slope_bias","median_slope_bias","sd_slope_bias","mean_abs_slope_bias","mean_intercept_bias","median_intercept_bias","sd_intercept_bias","mean_abs_intercept_bias","mean_sign_acc","median_sign_acc","sd_sign_acc","success_rate"
"h2_r3_c3__hrf_lag2_widen1p5__ar_high__isi_sparse__amp_mod","fmrilss_sbhm",40,0.351910423277432,0.349370764332979,0.0398803947992587,3.50521714170616,3.52424943657339,0.218774398885816,0.239223615749897,0.247976215273311,0.147668514778107,0.246252314040638,0.0114204757038876,0.0677528142269332,0.186386302826294,0.158550248360836,0.608217592592593,0.603009259259259,0.026376025671508,1
"h2_r3_c3__hrf_lag2_widen1p5__ar_high__isi_sparse__amp_mod","hrfals_fastlss[cpp]",40,0.323153177798492,0.323559682274355,0.0424228677888458,2.39778160976703,2.39300670005101,0.123437498476831,-0.223782512035815,-0.225188272462331,0.11056235561259,0.226290095855425,0.00492206432641639,0.0177194765578456,0.0834723921168612,0.0657344215002013,0.598148148148148,0.59837962962963,0.0279395416463497,1
"h2_r3_c3__hrf_lag2_widen1p5__ar_high__isi_sparse__amp_mod","hrfals_fastlss[r]",40,0.323153177798492,0.323559682274355,0.0424228677888458,2.39778160976703,2.39300670005101,0.123437498476831,-0.223782512035815,-0.22518827246233,0.11056235561259,0.226290095855425,0.00492206432641638,0.0177194765578458,0.0834723921168613,0.0657344215002014,0.598148148148148,0.59837962962963,0.0279395416463497,1
"h2_r3_c3__hrf_lag2_widen1p5__ar_high__isi_sparse__amp_mod","fmrilss_oasis[fractional|x=0.01|b=0.05]",40,0.3214802901386,0.323800972323743,0.0415787403683014,2.38664116906379,2.38180921930295,0.126481973321635,-0.24094286727743,-0.248382421122433,0.107604463610686,0.242579856995455,0.00308655462368116,0.0144123527613456,0.122155146905529,0.0953168714917704,0.598321759259259,0.596064814814815,0.0244527183497616,1
"h2_r3_c3__hrf_lag2_widen1p5__ar_high__isi_sparse__amp_mod","fmrilss_oasis[fractional|x=0.02|b=0.05]",40,0.321475081901632,0.323803952440987,0.041576488487422,2.36392887491112,2.35851654614488,0.12517695853508,-0.248566474497637,-0.255955650878016,0.106526689976374,0.249687058349392,0.00304652257049252,0.0143045116318201,0.120924618423596,0.0943503264697524,0.598321759259259,0.596064814814815,0.0244527183497616,1
"h2_r3_c3__hrf_lag2_widen1p5__ar_high__isi_sparse__amp_mod","fmrilss_oasis[fractional|x=0.05|b=0.05]",40,0.32145995642671,0.32381241147038,0.0415700144016077,2.29873177773089,2.29168253407862,0.1214224443225,-0.270544846719822,-0.277785967717656,0.103419309220582,0.270544846719822,0.00293213826716665,0.0139893951238391,0.117377569816799,0.0915648919885806,0.598321759259259,0.596064814814815,0.0244527183497616,1
"h2_r3_c3__hrf_lag2_widen1p5__ar_high__isi_sparse__amp_mod","fmrilss_oasis[fractional|x=0.01|b=0.02]",40,0.32132473727783,0.323573109069599,0.0415497927067038,2.38787668989242,2.38344829968763,0.126672908278156,-0.241215636870699,-0.248925647757979,0.10758836115116,0.242842369072363,0.00304307377678771,0.0140863553077534,0.123290307712652,0.0961842571484565,0.598032407407407,0.594907407407407,0.0239449175292167,1
"h2_r3_c3__hrf_lag2_widen1p5__ar_high__isi_sparse__amp_mod","fmrilss_oasis[fractional|x=0.02|b=0.02]",40,0.321319520090803,0.32357635096087,0.0415474872145048,2.36513620130709,2.36011875579442,0.125364681229952,-0.248841753681595,-0.256499429672055,0.106510019546665,0.249951898851315,0.00300318366059844,0.0139828848093468,0.122046991820852,0.0952077553769842,0.598032407407407,0.594907407407407,0.0239449175292167,1
"h2_r3_c3__hrf_lag2_widen1p5__ar_high__isi_sparse__amp_mod","fmrilss_oasis[fractional|x=0.05|b=0.02]",40,0.321304362662969,0.323585555895223,0.0415408597275511,2.2998599948983,2.29318091844895,0.121600976530831,-0.270826733291197,-0.278330616873929,0.103401094872469,0.270826733291197,0.00288924426469883,0.0136802361208397,0.118463245558488,0.0923937641041438,0.598032407407407,0.594907407407407,0.0239449175292167,1
"h2_r3_c3__hrf_lag2_widen1p5__ar_high__isi_sparse__amp_mod","fmrilss_oasis[fractional|x=0.01|b=0.01]",40,0.321269201112738,0.323492216462122,0.0415397114199086,2.38831751103502,2.38402910934748,0.126739954136243,-0.241310081547622,-0.249114536367808,0.107583352012762,0.242933258102768,0.00302814900141506,0.0139734245725936,0.123682858824311,0.0964840764576086,0.597858796296296,0.594907407407407,0.0241473989942507,1
"h2_r3_c3__hrf_lag2_widen1p5__ar_high__isi_sparse__amp_mod","fmrilss_oasis[fractional|x=0.02|b=0.01]",40,0.32126398305606,0.323495552008574,0.0415373876461691,2.36556708959935,2.36068660847856,0.125430596609196,-0.248937069662281,-0.256688504214294,0.106504806700778,0.250043596389171,0.00298830592492537,0.0138714716419498,0.122435111525156,0.0955041254127588,0.597858796296296,0.594907407407407,0.0241473989942507,1
