"scenario","method","n_old","mean_cor_old","median_cor_old","sd_cor_old","mean_rmse_old","median_rmse_old","sd_rmse_old","mean_slope_bias_old","median_slope_bias_old","sd_slope_bias_old","mean_abs_slope_bias_old","mean_intercept_bias_old","median_intercept_bias_old","sd_intercept_bias_old","mean_abs_intercept_bias_old","mean_sign_acc_old","median_sign_acc_old","sd_sign_acc_old","success_rate_old","run_old","n_new","mean_cor_new","median_cor_new","sd_cor_new","mean_rmse_new","median_rmse_new","sd_rmse_new","mean_slope_bias_new","median_slope_bias_new","sd_slope_bias_new","mean_abs_slope_bias_new","mean_intercept_bias_new","median_intercept_bias_new","sd_intercept_bias_new","mean_abs_intercept_bias_new","mean_sign_acc_new","median_sign_acc_new","sd_sign_acc_new","success_rate_new","run_new","delta_cor","delta_rmse","delta_sign_acc"
"h2_r3_c3__hrf_lag2_widen1p5__ar_high__isi_sparse__amp_mod","fmrilss_oasis_best",40,0.270555075802694,0.27162185274009,0.0503381444644071,2.78570371839649,2.80510318340162,0.235998399595364,-0.241577146979465,-0.231882989158857,0.16602717878475,0.246931064065622,-0.00665779603052074,-0.000562645641475033,0.0858423646168151,0.0698176849888152,0.591145833333333,0.591435185185185,0.0261507489067014,1,"before",40,0.270555075802694,0.27162185274009,0.0503381444644071,2.78570371839649,2.80510318340162,0.235998399595364,-0.241577146979465,-0.231882989158857,0.16602717878475,0.246931064065622,-0.00665779603052074,-0.000562645641475033,0.0858423646168151,0.0698176849888152,0.591145833333333,0.591435185185185,0.0261507489067014,1,"after",0,0,0
"h2_r3_c3__hrf_lag2_widen1p5__ar_high__isi_sparse__amp_mod","fmrilss_lss",40,0.270014106066072,0.270903319031004,0.0504321089528738,2.92320113234108,2.92844549289067,0.239162244288111,-0.204604499230147,-0.188242962417929,0.171287143352718,0.2168093839095,-0.00682719498234027,-0.000513115338841181,0.0844875313581012,0.0683129297126978,0.59068287037037,0.591435185185185,0.026141290133258,1,"before",40,0.270014106066072,0.270903319031004,0.0504321089528738,2.92320113234108,2.92844549289067,0.239162244288111,-0.204604499230147,-0.188242962417929,0.171287143352718,0.2168093839095,-0.00682719498234027,-0.000513115338841181,0.0844875313581012,0.0683129297126978,0.59068287037037,0.591435185185185,0.026141290133258,1,"after",0,0,0
"h2_r3_c3__hrf_lag2_widen1p5__ar_high__isi_sparse__amp_mod","st_default",40,0.268701531645548,0.274010397653555,0.0502744784643194,1.04129992763604,1.04138127676831,0.0533791144960573,-0.953694460688655,-0.956126984440981,0.0161983279229406,0.953694460688655,-0.00247824007276588,-0.00151417957559422,0.0234351586534094,0.0162037473754664,0.593171296296296,0.59375,0.0259559566101819,1,"before",40,0.268701531645548,0.274010397653555,0.0502744784643194,1.04129992763604,1.04138127676831,0.0533791144960573,-0.953694460688655,-0.956126984440981,0.0161983279229406,0.953694460688655,-0.00247824007276588,-0.00151417957559422,0.0234351586534094,0.0162037473754664,0.593171296296296,0.59375,0.0259559566101819,1,"after",0,0,0
"h2_r3_c3__hrf_lag2_widen1p5__ar_high__isi_sparse__amp_mod","fmrilss_sbhm",40,0.234956382540343,0.234899097244911,0.0506787527013057,3.30421072457841,3.25496995664958,0.526360404234872,-0.282041941852155,-0.295661302274065,0.177066685558726,0.284410888880876,-0.00930312391040491,-0.0145242658077584,0.0980090332417647,0.0773031195866742,0.57806712962963,0.577546296296296,0.0272029570787094,1,"before",40,0.225052742395779,0.214347975928513,0.0596089150587599,3.49552014358871,3.27387368328344,0.885393026183647,-0.32856431162212,-0.294241106111057,0.209097006939964,0.328734749553277,-0.000327176548759864,0.0144890957346047,0.120513614118173,0.0941713887380749,0.577835648148148,0.578703703703704,0.0306677964370611,1,"after",-0.00990364014456402,0.1913094190103,-0.000231481481481999
"h2_r3_c2__hrf_lag2_widen1p5__ar_high__isi_mid__amp_none","fmrilss_oasis_best",40,0.248625846016022,0.240593535398525,0.0426544760781574,2.84176317791117,2.81539484359268,0.178262821289832,-0.232937770354225,-0.236527940084345,0.148756642622545,0.242465706205014,0.00131875437357338,0.0112166508497445,0.0593071029555563,0.0460720181859115,0.5859375,0.590277777777778,0.0221545263946609,1,"before",40,0.248625846016022,0.240593535398525,0.0426544760781574,2.84176317791117,2.81539484359268,0.178262821289832,-0.232937770354225,-0.236527940084345,0.148756642622545,0.242465706205014,0.00131875437357338,0.0112166508497445,0.0593071029555563,0.0460720181859115,0.5859375,0.590277777777778,0.0221545263946609,1,"after",0,0,0
"h2_r3_c2__hrf_lag2_widen1p5__ar_high__isi_mid__amp_none","fmrilss_lss",40,0.24809872956838,0.240236428133777,0.0426992019399897,2.98880692105008,2.98697689021612,0.198803342015388,-0.193375123968891,-0.210053659870154,0.158365380713628,0.212761491642235,-0.000590571754927097,0.00849026957819445,0.0531129954712205,0.0399963217286521,0.585706018518519,0.587962962962963,0.0217748341694609,1,"before",40,0.24809872956838,0.240236428133777,0.0426992019399897,2.98880692105008,2.98697689021612,0.198803342015388,-0.193375123968891,-0.210053659870154,0.158365380713628,0.212761491642235,-0.000590571754927097,0.00849026957819445,0.0531129954712205,0.0399963217286521,0.585706018518519,0.587962962962963,0.0217748341694609,1,"after",0,0,0
"h2_r3_c2__hrf_lag2_widen1p5__ar_high__isi_mid__amp_none","st_default",40,0.239851494881095,0.226706994333728,0.0468254015994564,0.975385460630017,0.972325340888081,0.0351436529963598,-0.960037122474538,-0.96095360111682,0.0102865424799739,0.960037122474538,-0.000197980780721693,0.00346689555136171,0.0180910412121129,0.014698902973427,0.590798611111111,0.590277777777778,0.0219006658523462,1,"before",40,0.239851494881095,0.226706994333728,0.0468254015994564,0.975385460630017,0.972325340888081,0.0351436529963598,-0.960037122474538,-0.96095360111682,0.0102865424799739,0.960037122474538,-0.000197980780721693,0.00346689555136171,0.0180910412121129,0.014698902973427,0.590798611111111,0.590277777777778,0.0219006658523462,1,"after",0,0,0
"h2_r3_c2__hrf_lag2_widen1p5__ar_high__isi_mid__amp_none","fmrilss_sbhm",40,0.223216060832538,0.235191188128233,0.0625135118827598,3.37413146838922,3.22396155081047,0.48986144647442,-0.28812183930051,-0.278295628988215,0.235747952787499,0.306890904811114,0.00234758850261556,0.0168922823927934,0.10180232426873,0.0835549287072191,0.577777777777778,0.578703703703704,0.0226974161263936,1,"before",40,0.186996554512984,0.19190196076349,0.0481883967011496,3.72824577603555,3.55086940445317,0.802263040414327,-0.433355185082113,-0.385752752080662,0.245299510336046,0.433355185082113,0.00307741083321218,0.0115691344356939,0.113842266632926,0.091964270936296,0.567476851851852,0.568287037037037,0.020621549372251,1,"after",-0.036219506319554,0.35411430764633,-0.0103009259259259
"h2_r3_c1__hrf_lag2_widen1p5__ar_high__isi_dense__amp_high","fmrilss_lss",40,0.235912203926176,0.238514481574494,0.0427125515397349,3.74671129803565,3.62469299079973,0.532449902581492,-0.211964658167685,-0.194181209434188,0.184295486525202,0.238857789459551,-0.0116144380662893,-0.0181791199237197,0.0732395120844134,0.0592267407867405,0.568865740740741,0.564814814814815,0.0212722184171856,1,"before",40,0.235912203926176,0.238514481574494,0.0427125515397349,3.74671129803565,3.62469299079973,0.532449902581492,-0.211964658167685,-0.194181209434188,0.184295486525202,0.238857789459551,-0.0116144380662893,-0.0181791199237197,0.0732395120844134,0.0592267407867405,0.568865740740741,0.564814814814815,0.0212722184171856,1,"after",0,0,0
"h2_r3_c1__hrf_lag2_widen1p5__ar_high__isi_dense__amp_high","fmrilss_sbhm",40,0.233062876266421,0.232218837847528,0.045571274379463,3.70334095840515,3.6781094438814,0.514875593031932,-0.253440828438494,-0.278137844668917,0.177701774874833,0.262323824150582,-0.00755682244019869,-0.00259110754205104,0.0775228336956636,0.0625266052506844,0.571875,0.570601851851852,0.0259887546771082,1,"before",40,0.224030224156389,0.232799701032736,0.0501593109155528,3.80956124311372,3.62381729872072,0.795478033011339,-0.298795737172671,-0.281437784770159,0.183973954885856,0.305683356077185,-0.00734644943485354,-0.0158452465066938,0.083872067239339,0.0697050892045772,0.566608796296296,0.564814814814815,0.0248843627838567,1,"after",-0.00903265211003199,0.10622028470857,-0.00526620370370401
