"scenario","method","mean_cor","mean_rmse","success_rate","alpha_source"
"medium_nominal","fmrilss_sbhm",0.228265269090588,4.41661379026542,1,"prepass"
"medium_mismatch","fmrilss_sbhm",0.197074642276155,4.61640885467803,1,"prepass"
"hard_nominal","fmrilss_sbhm",0.182972749239123,5.39086170022462,1,"prepass"
"hard_mismatch","fmrilss_sbhm",0.169963527160302,6.00452447938888,1,"prepass"
"medium_nominal","fmrilss_sbhm",0.207513419417362,6.93500424852559,1,"oasis_rank1"
"medium_mismatch","fmrilss_sbhm",0.131577682693015,7.02941119823209,1,"oasis_rank1"
"hard_nominal","fmrilss_sbhm",0.195171399592762,6.9583328668229,1,"oasis_rank1"
"hard_mismatch","fmrilss_sbhm",0.173203008678148,7.59053030979878,1,"oasis_rank1"
"medium_nominal","fmrilss_sbhm",0.18794376938328,7.2444881380987,1,"trial_projection"
"medium_mismatch","fmrilss_sbhm",0.105161551040862,7.24780677801013,1,"trial_projection"
"hard_nominal","fmrilss_sbhm",0.170929256211148,8.427125172294,1,"trial_projection"
"hard_mismatch","fmrilss_sbhm",0.107362303881699,9.2276754432764,1,"trial_projection"
