"scenario","method","mean_cor","mean_rmse","mean_sign_acc","success_rate","config"
"medium","st_default",0.382042460333868,1.00080514594657,0.624074074074074,1,"legacy"
"medium","fmrilss_lss",0.360054809345323,2.51845642696437,0.613425925925926,1,"legacy"
"medium","fmrilss_sbhm",0.209575001483177,2.67534775450991,0.570138888888889,1,"legacy"
"hard","st_default",0.321475634376173,1.00915702834229,0.610185185185185,1,"legacy"
"hard","fmrilss_lss",0.287767124436255,3.05083993360251,0.599074074074074,1,"legacy"
"hard","fmrilss_sbhm",0.180435314178815,3.22021586993458,0.555092592592593,1,"legacy"
"easy","st_default",0.448195038832055,0.989182192295018,0.639814814814815,1,"legacy"
"easy","fmrilss_lss",0.417873591862932,2.29053882752523,0.632175925925926,1,"legacy"
"easy","fmrilss_sbhm",0.2264041170736,2.55899952802705,0.575231481481482,1,"legacy"
"medium","st_default",0.350734310654285,1.01559708906557,0.624305555555556,1,"robust"
"medium","fmrilss_lss",0.331976376379215,2.92781911695617,0.60625,1,"robust"
"medium","fmrilss_sbhm",0.233517964339198,4.38292182935234,0.584027777777778,1,"robust"
"hard","st_default",0.331574419808963,1.01421491505121,0.616435185185185,1,"robust"
"hard","fmrilss_lss",0.307398106633972,3.26888412237855,0.60625,1,"robust"
"hard","fmrilss_sbhm",0.193701190178779,4.95463599071308,0.566666666666667,1,"robust"
"easy","st_default",0.486132711634866,0.923956692123885,0.65462962962963,1,"robust"
"easy","fmrilss_lss",0.459617657297204,1.95243348266677,0.644907407407407,1,"robust"
"easy","fmrilss_sbhm",0.349586863748148,3.08117603717247,0.602314814814815,1,"robust"
