"scenario","method","mean_cor","mean_rmse","mean_sign_acc","success_rate"
"medium_nominal","st_default",0.396772561071632,0.999116606558866,0.6328125,1
"medium_nominal","fmrilss_lss",0.359990963617049,2.47937971267753,0.616030092592593,1
"medium_nominal","fmrilss_sbhm",0.240905943742605,3.54069214497886,0.584490740740741,1
"medium_mismatch","fmrilss_lss",0.230348047708276,2.90560815516888,0.579282407407407,1
"medium_mismatch","st_default",0.225725405092896,1.04329559234476,0.58130787037037,1
"medium_mismatch","fmrilss_sbhm",0.218550877185812,4.17342361015111,0.568576388888889,1
"hard_nominal","st_default",0.305404816293732,1.02766061367631,0.600405092592593,1
"hard_nominal","fmrilss_lss",0.270804965479415,3.14350175175397,0.584490740740741,1
"hard_nominal","fmrilss_sbhm",0.18327480635724,4.22901467485803,0.566550925925926,1
"hard_mismatch","fmrilss_lss",0.196537158663127,3.14098725369919,0.5703125,1
"hard_mismatch","fmrilss_sbhm",0.190956838912206,4.32700274998454,0.561342592592593,1
"hard_mismatch","st_default",0.187125860661969,1.0392654465141,0.566261574074074,1
